,회사명,거래소코드,회계년도,영업활동으로인한현금흐름(간접법)(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원)
172,(주)경농,002100,2011,14162963.0,-9444978.0,-23133875.0
173,(주)경농,002100,2012,8796940.0,-6775458.0,6493768.0
174,(주)경농,002100,2013,18563319.0,-1125346.0,-27230933.0
175,(주)경농,002100,2014,14706590.0,-16252739.0,7251290.0
176,(주)경농,002100,2015,-9854199.0,-14264573.0,23083006.0
177,(주)경농,002100,2016,15996174.0,-14091883.0,-7381227.0
178,(주)경농,002100,2017,15815332.0,-12828629.0,893935.0
179,(주)경농,002100,2018,10607249.0,-12754265.0,1603012.0
180,(주)경농,002100,2019,-1020171.0,6297614.0,-6078769.0
181,(주)경농,002100,2020,15868144.0,6834074.0,-20879610.0
182,(주)경농,002100,2021,10815548.0,-5751218.0,7383203.0
183,(주)경동나비엔,009450,2011,15493744.0,-19734957.0,437099.0
184,(주)경동나비엔,009450,2012,27648702.0,-29096492.0,9446128.0
185,(주)경동나비엔,009450,2013,20912632.0,-67412813.0,22496757.0
186,(주)경동나비엔,009450,2014,-13266158.0,-38148799.0,50436010.0
187,(주)경동나비엔,009450,2015,43719574.0,-7238540.0,-37990498.0
188,(주)경동나비엔,009450,2016,61333200.0,-22069978.0,-35032227.0
189,(주)경동나비엔,009450,2017,20111583.0,-40198288.0,26540438.0
190,(주)경동나비엔,009450,2018,-14286091.0,-44715979.0,56483023.0
191,(주)경동나비엔,009450,2019,78554868.0,-51466326.0,-33520665.0
192,(주)경동나비엔,009450,2020,57625120.0,-58864878.0,18661208.0
193,(주)경동나비엔,009450,2021,80668519.0,-12549527.0,-63079200.0
194,(주)경동도시가스,267290,2017,19371687.0,-54218575.0,-856859.0
195,(주)경동도시가스,267290,2018,120705226.0,-58533558.0,-4857492.0
196,(주)경동도시가스,267290,2019,33973376.0,-46540342.0,-6186816.0
197,(주)경동도시가스,267290,2020,314378.0,-24924821.0,-9978209.0
198,(주)경동도시가스,267290,2021,138736973.0,-36584133.0,-6859981.0
199,(주)경동인베스트,012320,2011,88589199.0,-63153791.0,-15652542.0
200,(주)경동인베스트,012320,2012,150571070.0,-60092789.0,-9221041.0
201,(주)경동인베스트,012320,2013,69233629.0,-38215830.0,-4606606.0
202,(주)경동인베스트,012320,2014,20818461.0,-36929956.0,3546093.0
203,(주)경동인베스트,012320,2015,-50279018.0,-128436091.0,47600994.0
204,(주)경동인베스트,012320,2016,26876328.0,-25524035.0,-5663220.0
205,(주)경동인베스트,012320,2017,60158090.0,-20172592.0,-6303754.0
206,(주)경동인베스트,012320,2018,12513851.0,35768379.0,-46093284.0
207,(주)경동인베스트,012320,2019,32390710.0,-8561739.0,-21627299.0
208,(주)경동인베스트,012320,2020,18457523.0,4845174.0,-26563498.0
209,(주)경동인베스트,012320,2021,25395956.0,-8403313.0,-20191056.0
210,(주)경방,000050,2011,-14647398.0,-26322473.0,35048132.0
211,(주)경방,000050,2012,17789061.0,-27697875.0,8478478.0
212,(주)경방,000050,2013,51153970.0,-3280250.0,-48062284.0
213,(주)경방,000050,2014,23819336.0,-33885316.0,7248278.0
214,(주)경방,000050,2015,39920580.0,-36713625.0,-4572002.0
215,(주)경방,000050,2016,67981079.0,-13675594.0,-53643827.0
216,(주)경방,000050,2017,57866501.0,-19767162.0,-36109907.0
217,(주)경방,000050,2018,12093896.0,-25719906.0,10321447.0
218,(주)경방,000050,2019,66875285.0,-45096923.0,-14956599.0
219,(주)경방,000050,2020,33635651.0,88336713.0,-95710890.0
220,(주)경방,000050,2021,20910159.0,-52176588.0,2602977.0
228,(주)경인양행,012610,2011,9839673.0,-9877016.0,-5766473.0
229,(주)경인양행,012610,2012,20801833.0,-5059446.0,-11508502.0
230,(주)경인양행,012610,2013,1046809.0,-3527107.0,1806201.0
231,(주)경인양행,012610,2014,18368986.0,-12201523.0,-2721206.0
232,(주)경인양행,012610,2015,5444861.0,-10080952.0,5507952.0
233,(주)경인양행,012610,2016,19013689.0,-7033423.0,-7321054.0
234,(주)경인양행,012610,2017,5323456.0,-25434854.0,21933930.0
235,(주)경인양행,012610,2018,1873412.0,-31671509.0,31497592.0
236,(주)경인양행,012610,2019,6768170.0,-46297964.0,42426085.0
237,(주)경인양행,012610,2020,54551658.0,-40618876.0,39942677.0
238,(주)경인양행,012610,2021,9230963.0,-30301041.0,24823696.0
247,(주)고바이오랩,348150,2020,-12770564.0,20991597.0,31045037.0
248,(주)고바이오랩,348150,2021,-12480855.0,-31153948.0,55741177.0
249,(주)고영테크놀러지,098460,2011,13903738.0,-15045937.0,-1005001.0
250,(주)고영테크놀러지,098460,2012,11397833.0,-8116145.0,-1627415.0
251,(주)고영테크놀러지,098460,2013,13282913.0,-6568022.0,693223.0
252,(주)고영테크놀러지,098460,2014,25603240.0,-14447901.0,-5986932.0
253,(주)고영테크놀러지,098460,2015,16569102.0,-1979022.0,-8347958.0
254,(주)고영테크놀러지,098460,2016,29234878.0,-7025366.0,-3590719.0
255,(주)고영테크놀러지,098460,2017,19941301.0,5201174.0,-22646309.0
256,(주)고영테크놀러지,098460,2018,21765311.0,-72484067.0,26904466.0
257,(주)고영테크놀러지,098460,2019,29168422.0,-7879555.0,-17435362.0
258,(주)고영테크놀러지,098460,2020,37796430.0,-7825412.0,-12222227.0
259,(주)고영테크놀러지,098460,2021,42480323.0,-12063397.0,-7334975.0
260,(주)골드앤에스,035290,2011,8628850.0,-8498088.0,-445968.0
261,(주)골드앤에스,035290,2012,2478990.0,-9284293.0,9774762.0
262,(주)골드앤에스,035290,2013,-204052.0,-1383374.0,-1351541.0
263,(주)골드앤에스,035290,2014,-991208.0,-1764445.0,2956818.0
264,(주)골드앤에스,035290,2015,1708284.0,-5567330.0,4121207.0
265,(주)골드앤에스,035290,2016,1679723.0,94530.0,-1824664.0
266,(주)골드앤에스,035290,2017,361216.0,-6335735.0,7655990.0
267,(주)골드앤에스,035290,2018,-3136830.0,-12675663.0,28913273.0
268,(주)골드앤에스,035290,2019,-6506543.0,-4713771.0,-3273255.0
269,(주)골드앤에스,035290,2020,-498313.0,913873.0,6671045.0
270,(주)골드앤에스,035290,2021,2035559.0,-5392461.0,-423594.0
273,(주)골드퍼시픽,038530,2013,-2334044.0,-6853546.0,9215773.0
274,(주)골드퍼시픽,038530,2014,-4905537.0,-3323988.0,8252414.0
275,(주)골드퍼시픽,038530,2015,-5635841.0,1337628.0,7138741.0
278,(주)골드퍼시픽,038530,2018,-3626992.0,-5614342.0,16531379.0
282,(주)골프존,215000,2015,44345997.0,-4207242.0,-174324.0
283,(주)골프존,215000,2016,35237011.0,-33604113.0,-25041880.0
284,(주)골프존,215000,2017,80376887.0,11830916.0,-12541622.0
285,(주)골프존,215000,2018,32883976.0,-56231601.0,-28387248.0
286,(주)골프존,215000,2019,39501603.0,-46930786.0,-36061125.0
287,(주)골프존,215000,2020,87402396.0,-52632514.0,-25286953.0
288,(주)골프존,215000,2021,136071287.0,-63709279.0,-29648170.0
289,(주)골프존뉴딘홀딩스,121440,2011,46128334.0,-173047588.0,139988485.0
290,(주)골프존뉴딘홀딩스,121440,2012,61269978.0,-91334075.0,44389305.0
291,(주)골프존뉴딘홀딩스,121440,2013,63430820.0,-90093517.0,26100797.0
292,(주)골프존뉴딘홀딩스,121440,2014,28790402.0,-75886421.0,35881327.0
293,(주)골프존뉴딘홀딩스,121440,2015,-15266617.0,10947085.0,-3988605.0
294,(주)골프존뉴딘홀딩스,121440,2016,15895535.0,-11134900.0,-18462843.0
295,(주)골프존뉴딘홀딩스,121440,2017,-1173648.0,-754187.0,16166173.0
296,(주)골프존뉴딘홀딩스,121440,2018,-20158087.0,-36752525.0,23661522.0
297,(주)골프존뉴딘홀딩스,121440,2019,5656323.0,15355506.0,-3462255.0
298,(주)골프존뉴딘홀딩스,121440,2020,25586892.0,50006233.0,-20178709.0
299,(주)골프존뉴딘홀딩스,121440,2021,21104190.0,-67909461.0,-13025241.0
303,(주)광림,014200,2014,-6344996.0,-13004183.0,20104756.0
305,(주)광림,014200,2016,3288372.0,-11978430.0,19604477.0
306,(주)광림,014200,2017,-15250032.0,-7625214.0,25745110.0
307,(주)광림,014200,2018,-13294713.0,-8169183.0,6217754.0
308,(주)광림,014200,2019,-12235587.0,-47636791.0,61311840.0
309,(주)광림,014200,2020,25092530.0,11441987.0,-17880508.0
310,(주)광림,014200,2021,9903828.0,-20408274.0,46725680.0
311,(주)광명전기,017040,2011,1765403.0,-1505720.0,4339007.0
312,(주)광명전기,017040,2012,3436380.0,-1024973.0,3121140.0
313,(주)광명전기,017040,2013,3129414.0,373757.0,-10142498.0
314,(주)광명전기,017040,2014,11464334.0,-7261188.0,-1734131.0
315,(주)광명전기,017040,2015,18501076.0,2326377.0,-2420429.0
316,(주)광명전기,017040,2016,4502682.0,-35162672.0,23002124.0
317,(주)광명전기,017040,2017,6647411.0,-8947369.0,5450000.0
318,(주)광명전기,017040,2018,-3815893.0,-2977933.0,1451000.0
319,(주)광명전기,017040,2019,20495932.0,-24504535.0,2509805.0
320,(주)광명전기,017040,2020,5269896.0,-2588559.0,329435.0
321,(주)광명전기,017040,2021,-2536009.0,9404579.0,-6881885.0
322,(주)광무,029480,2011,8460656.0,-26234397.0,14067393.0
323,(주)광무,029480,2012,-5808549.0,4070985.0,-4748591.0
324,(주)광무,029480,2013,-971186.0,-4579970.0,5454586.0
329,(주)광무,029480,2018,-1324743.0,-319877.0,2894228.0
330,(주)광무,029480,2019,-2435580.0,-17176123.0,34560606.0
