,회사명,거래소코드,회계년도,토빈Q
199,(주)경방,000050,2021,0.701140467975358
200,(주)경인양행,012610,2011,0.881593032954876
201,(주)경인양행,012610,2012,0.7468672565297861
202,(주)경인양행,012610,2013,0.9353718852351814
203,(주)경인양행,012610,2014,0.9074304285446747
204,(주)경인양행,012610,2015,0.8152852998292677
205,(주)경인양행,012610,2016,0.9398996044464496
206,(주)경인양행,012610,2017,1.0253209486470332
207,(주)경인양행,012610,2018,1.0018489612029218
208,(주)경인양행,012610,2019,1.1452000182053503
209,(주)경인양행,012610,2020,1.1211080656732344
210,(주)경인양행,012610,2021,1.030419865649159
211,(주)고바이오랩,348150,2020,10.690843752364419
212,(주)고바이오랩,348150,2021,3.3175016997928726
213,(주)고영테크놀러지,098460,2011,3.2658325845993437
214,(주)고영테크놀러지,098460,2012,2.627805845800803
215,(주)고영테크놀러지,098460,2013,2.202569689332884
216,(주)고영테크놀러지,098460,2014,4.059696069604344
217,(주)고영테크놀러지,098460,2015,3.226830516793506
218,(주)고영테크놀러지,098460,2016,3.3345749542511367
219,(주)고영테크놀러지,098460,2017,5.816116695800202
220,(주)고영테크놀러지,098460,2018,4.259729945336806
221,(주)고영테크놀러지,098460,2019,4.8166656019147815
222,(주)고영테크놀러지,098460,2020,4.597306332770762
223,(주)고영테크놀러지,098460,2021,4.3250652109190115
224,(주)골드앤에스,035290,2011,1.0162316580152522
225,(주)골드앤에스,035290,2012,1.1458995332604975
226,(주)골드앤에스,035290,2013,1.0121961962777668
227,(주)골드앤에스,035290,2014,1.5277135539841689
228,(주)골드앤에스,035290,2015,5.307208558642249
229,(주)골드앤에스,035290,2016,4.068564055741422
230,(주)골드앤에스,035290,2017,6.726336922862287
231,(주)골드앤에스,035290,2018,2.3615194703148954
232,(주)골드앤에스,035290,2020,20.92969601590992
233,(주)골드앤에스,035290,2021,2.2276335099432534
234,(주)골드퍼시픽,038530,2013,1.1847993480800576
235,(주)골드퍼시픽,038530,2014,1.4402825818845206
236,(주)골드퍼시픽,038530,2015,3.6250848535389366
237,(주)골드퍼시픽,038530,2018,1.1444422223539383
238,(주)골프존,215000,2015,3.5501159758811336
239,(주)골프존,215000,2016,2.5580618660292385
240,(주)골프존,215000,2017,1.3933536297653235
241,(주)골프존,215000,2018,1.085913504713069
242,(주)골프존,215000,2019,1.7556052583399562
243,(주)골프존,215000,2020,1.5775404600700615
244,(주)골프존,215000,2021,2.579332643097195
245,(주)골프존뉴딘홀딩스,121440,2011,1.7146634277977346
246,(주)골프존뉴딘홀딩스,121440,2012,1.6573449435704228
247,(주)골프존뉴딘홀딩스,121440,2013,1.5053194934290557
248,(주)골프존뉴딘홀딩스,121440,2014,1.6047202662234723
249,(주)골프존뉴딘홀딩스,121440,2015,0.6601202527911325
