,회사명,거래소코드,회계년도,보통주식비율,외국인_주식분포비율
444,(주)그리티,204020,2014,0,0
445,(주)그리티,204020,2015,0,0
446,(주)그리티,204020,2016,0,0
447,(주)그리티,204020,2017,0,0
448,(주)그리티,204020,2018,41.09,0.24
449,(주)그리티,204020,2019,35.17,2.68
450,(주)그리티,204020,2020,37.72,0.87
451,(주)그리티,204020,2021,34.24,5.75
452,(주)그린플러스,186230,2011,0,0
453,(주)그린플러스,186230,2012,0,0
454,(주)그린플러스,186230,2013,49.42,0
455,(주)그린플러스,186230,2014,50.91,0
456,(주)그린플러스,186230,2015,50.12,0
457,(주)그린플러스,186230,2016,40.53,0
458,(주)그린플러스,186230,2017,40.53,0
459,(주)그린플러스,186230,2018,39.63,0
460,(주)그린플러스,186230,2019,32.39,0.68
461,(주)그린플러스,186230,2020,32.46,2.23
462,(주)그린플러스,186230,2021,29.3,2.37
463,(주)극동자동화,272420,2014,0,0
464,(주)극동자동화,272420,2015,0,0
465,(주)극동자동화,272420,2016,0,0
466,(주)극동자동화,272420,2017,100,0
467,(주)글로벌스탠다드테크놀로지,83450,2011,28.62,0.42
468,(주)글로벌스탠다드테크놀로지,83450,2012,33.04,0.63
469,(주)글로벌스탠다드테크놀로지,83450,2013,26.87,0.81
470,(주)글로벌스탠다드테크놀로지,83450,2014,24.32,2.63
471,(주)글로벌스탠다드테크놀로지,83450,2015,25.35,4.25
472,(주)글로벌스탠다드테크놀로지,83450,2016,25.35,2.73
473,(주)글로벌스탠다드테크놀로지,83450,2017,25.89,9.68
474,(주)글로벌스탠다드테크놀로지,83450,2018,25.9,7.03
475,(주)글로벌스탠다드테크놀로지,83450,2019,25.95,8.75
476,(주)글로벌스탠다드테크놀로지,83450,2020,25.27,5.57
477,(주)글로벌스탠다드테크놀로지,83450,2021,23.15,11.33
478,(주)금비,8870,2011,54.89,4.37
479,(주)금비,8870,2012,54.89,4.37
480,(주)금비,8870,2013,55.36,4.33
481,(주)금비,8870,2014,55.36,4.29
482,(주)금비,8870,2015,55.66,0.89
483,(주)금비,8870,2016,56.01,1
484,(주)금비,8870,2017,56.21,0.11
485,(주)금비,8870,2018,56.28,0.11
486,(주)금비,8870,2019,56.28,0.11
487,(주)금비,8870,2020,56.48,0.22
488,(주)금비,8870,2021,56.48,1.01
489,(주)금빛,45890,2011,26.94,0.32
490,(주)금빛,45890,2012,26.94,0.2
491,(주)금빛,45890,2013,26.94,0.56
492,(주)금빛,45890,2014,26.94,0.28
493,(주)금빛,45890,2015,26.94,0.91
494,(주)금빛,45890,2016,26.44,0.3
495,(주)금빛,45890,2017,26.04,1.2
496,(주)금빛,45890,2018,14.39,4.14
497,(주)금빛,45890,2019,21.53,1.56
498,(주)금빛,45890,2020,13.3,0.35
