,회사명,거래소코드,회계년도,상장일,자산,당기순이익(손실),미처분이익잉여금(결손금),총자본증가율,비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도
48,(주)MH에탄올,023150,2016,1996/12/24,72339673.0,8134873.0,54967849.0,-8.43,-6.84,-12.41,9.84,-2.96,7.05,4.71,8.01,16.66,10.76,13.41,69.46,0.0,1314.52,82.78,257.95,185.46,17.87,13.77,12.02,8.63,29.41,83.53,13.15,125.25
49,(주)MH에탄올,023150,2017,1996/12/24,500180086.0,5903108.0,58282649.0,591.43,689.3,330.09,3.63,6.3,-31.65,-17.16,-18.62,8.29,1.5,10.42,71.62,0.0,1410.23,388.83,44.64,41.69,7.8,368.17,177.74,237.29,3.46,21.15,23.01,921.59
50,(주)MH에탄올,023150,2018,1996/12/24,440177523.0,6553371.0,68051037.0,-12.0,-1.16,-65.11,-5.46,40.05,-84.87,-108.83,-101.48,-16.53,-2.56,-0.93,73.53,0.03,1355.58,448.33,20.96,16.33,4.89,380.62,154.04,239.34,0.1,20.81,19.93,583.76
51,(주)MH에탄올,023150,2019,1996/12/24,451474451.0,-5004935.0,60387985.0,2.57,1.96,10.95,-7.78,11.1,537.44,0.0,0.0,-9.34,-1.69,-0.88,67.04,0.03,1277.63,527.35,11.62,8.73,3.21,468.69,355.65,302.7,0.73,17.87,17.55,543.48
52,(주)MH에탄올,023150,2020,1996/12/24,449679366.0,1156387.0,58727543.0,-0.4,-1.6,14.97,6.85,17.02,101.58,0.0,0.0,4.02,0.84,11.49,63.21,0.04,1363.18,512.21,25.82,20.1,8.54,459.13,181.71,297.81,1.29,18.17,17.78,460.82
53,(주)MH에탄올,023150,2021,1996/12/24,451460752.0,4938622.0,60433737.0,0.4,-3.05,38.02,2.38,7.84,47.86,-13.4,-39.8,8.51,1.93,9.52,57.03,0.04,1394.96,471.51,17.51,14.42,8.94,432.99,351.03,278.96,1.92,19.05,18.71,432.68
54,(주)SH에너지화학,002360,2011,1985/12/23,104710740.0,3164441.0,2904750.0,9.51,-4.09,29.29,2.97,14.99,0.0,0.0,0.0,1.04,1.8,3.31,92.83,0.01,15.02,83.31,147.77,115.16,15.37,60.5,52.23,44.61,2.82,9.8,0.18,53.82
55,(주)SH에너지화학,002360,2012,1985/12/23,103690070.0,1079738.0,3927523.0,-0.97,-2.16,0.31,-0.29,11.97,-47.6,-81.28,-78.56,0.11,0.2,0.61,92.2,0.02,14.69,81.97,171.22,123.05,7.42,59.82,45.47,44.03,1.72,9.54,0.18,47.92
56,(주)SH에너지화학,002360,2013,1985/12/23,110488951.0,4841817.0,8556960.0,6.56,-3.28,16.91,7.81,19.57,194.26,1146.78,1158.1,1.99,4.3,7.35,92.26,0.01,23.54,73.9,168.09,134.09,15.75,58.75,50.48,40.2,5.3,13.23,0.26,43.5
57,(주)SH에너지화학,002360,2014,1985/12/23,110741407.0,15569914.0,22013011.0,0.23,-1.99,2.16,20.89,-0.43,231.12,238.32,221.97,7.25,15.13,21.7,85.6,0.01,49.06,59.85,291.69,224.49,37.69,31.46,24.55,11.36,26.68,26.41,0.52,44.09
58,(주)SH에너지화학,002360,2015,1985/12/23,115520726.0,12639344.0,28894296.0,4.32,-6.17,13.08,8.99,-6.27,7.89,-22.92,-21.75,5.82,11.13,14.62,82.76,0.0,62.33,51.62,399.36,329.69,115.03,26.05,18.64,7.51,84.87,31.74,0.66,49.25
59,(주)SH에너지화학,002360,2016,1985/12/23,124488724.0,17574101.0,40749214.0,7.76,-14.88,23.47,13.99,0.9,5.02,42.44,40.85,8.26,15.02,18.66,82.31,0.0,84.85,38.68,673.11,580.63,211.38,19.6,12.02,3.42,210.93,39.44,0.88,55.22
60,(주)SH에너지화학,002360,2017,1985/12/23,125312154.0,8905104.0,42774178.0,0.66,-6.34,4.01,3.22,-13.87,-41.16,-46.61,-46.37,5.25,7.91,9.21,86.02,0.0,90.76,35.02,1057.37,816.13,399.76,16.36,7.69,3.3,162.17,42.06,0.95,64.78
61,(주)SH에너지화학,002360,2018,1985/12/23,122434685.0,2766802.0,40720893.0,-2.3,-2.75,-2.1,-1.92,-2.4,-85.19,-75.89,-76.53,1.11,1.64,2.21,93.32,0.0,87.25,34.8,1287.95,953.73,441.48,16.17,6.32,3.32,22.72,41.23,0.91,64.87
62,(주)SH에너지화학,002360,2019,1985/12/23,123415832.0,-3151629.0,34105786.0,0.8,8.67,-2.57,-5.94,-23.28,-249.05,-223.7,-249.07,-2.19,-2.51,-2.84,95.27,0.0,76.79,40.26,1110.48,887.83,542.25,24.66,7.6,8.85,-24.12,35.98,0.8,83.66
63,(주)SH에너지화학,002360,2020,1985/12/23,117356594.0,-7218778.0,27140225.0,-4.91,12.67,-13.3,-7.76,-33.56,0.0,0.0,0.0,-7.42,-5.77,-7.29,98.84,0.0,64.31,49.89,979.37,849.69,445.74,30.38,8.22,12.55,-38.65,30.69,0.65,112.84
64,(주)SH에너지화학,002360,2021,1985/12/23,119629058.0,753350.0,28610015.0,1.94,-7.88,8.02,1.94,49.39,0.0,0.0,0.0,0.44,0.52,0.69,92.9,0.0,67.5,45.09,599.23,504.85,149.24,30.4,14.24,12.06,1.72,31.59,0.68,81.99
65,(주)SIMPAC,009160,2011,1989/07/29,310879328.0,21196377.0,31047031.0,15.37,16.19,14.54,16.25,18.47,26.96,21.75,27.24,11.6,8.61,15.9,79.13,0.04,1075.2,93.52,130.69,108.07,54.55,84.02,69.24,25.78,20.93,50.3,10.75,104.87
66,(주)SIMPAC,009160,2012,1989/07/29,318665505.0,22517068.0,31171303.0,2.5,5.01,-0.08,11.2,4.64,-7.88,-22.78,-17.85,8.56,6.13,10.81,81.14,0.22,1205.3,88.31,140.97,117.58,22.15,69.63,57.68,21.47,15.51,55.0,12.05,101.18
67,(주)SIMPAC,009160,2013,1989/07/29,361985890.0,19196136.0,27665873.0,13.59,52.71,-28.88,11.16,-8.7,-6.32,3.93,9.48,9.74,5.89,10.11,79.9,0.05,1349.5,121.32,81.19,62.03,7.16,73.34,64.07,31.76,16.58,54.21,13.49,126.26
68,(주)SIMPAC,009160,2014,1989/07/29,381939281.0,10218575.0,21723195.0,5.51,-6.42,33.34,4.71,27.9,-26.52,-28.56,-49.3,5.44,3.85,6.7,83.63,0.09,1417.16,108.2,105.96,76.17,19.44,74.3,62.39,18.64,8.48,54.08,14.2,119.34
69,(주)SIMPAC,009160,2015,1989/07/29,422833445.0,19448583.0,30010526.0,10.71,4.92,20.18,6.1,2.42,22.48,14.79,25.29,6.1,4.09,7.29,82.15,0.12,1508.53,107.21,102.82,69.62,14.76,82.25,72.98,22.93,14.66,51.88,15.09,131.52
70,(주)SIMPAC,009160,2016,1989/07/29,417865468.0,16444650.0,29207034.0,-1.17,-3.08,1.55,3.62,-0.91,10.95,-1.54,-3.69,6.06,3.85,6.85,81.52,0.08,1585.77,100.28,113.8,84.21,33.41,73.81,64.61,22.8,16.75,55.19,15.86,133.5
71,(주)SIMPAC,009160,2017,1989/07/29,381158251.0,7133940.0,18689996.0,-8.78,-4.4,-14.77,0.17,-13.64,-50.36,-20.32,-23.49,5.59,3.23,5.36,83.69,0.12,1643.73,95.71,115.32,85.28,23.55,58.27,54.25,22.93,10.1,62.71,16.44,140.62
72,(주)SIMPAC,009160,2018,1989/07/29,681750819.0,62381304.0,72585765.0,78.86,60.97,106.23,80.64,32.74,-12.89,436.6,510.82,22.6,13.02,20.48,88.84,0.11,1277.69,85.28,135.98,87.82,49.22,56.71,52.53,26.07,4.07,61.31,12.78,218.92
73,(주)SIMPAC,009160,2019,1989/07/29,679145850.0,11507259.0,65083203.0,-0.38,5.1,-6.93,1.42,40.48,9.33,-86.29,-85.52,2.21,1.39,2.17,89.59,0.07,1296.53,88.38,131.76,91.59,58.26,53.93,49.75,29.19,3.47,62.45,12.97,127.73
74,(주)SIMPAC,009160,2020,1989/07/29,737277692.0,26301694.0,79389043.0,8.56,-1.52,22.15,5.17,-14.93,-30.1,259.84,247.83,9.33,4.82,7.54,89.7,0.05,1389.64,82.77,141.82,88.93,49.68,58.9,53.68,31.19,2.64,61.66,13.9,160.02
75,(주)SIMPAC,009160,2021,1989/07/29,903229593.0,65314306.0,140909254.0,22.51,-5.99,53.49,17.82,67.55,1266.33,166.06,167.24,14.82,11.07,17.98,73.99,0.02,1657.62,66.04,163.62,112.22,65.94,65.23,60.62,32.81,29.83,60.04,16.58,124.81
76,(주)SNT에너지,100840,2011,2008/02/22,,-4155767.0,123127820.0,,,,,,,,,,,,,,,,,,,,,,,,,
77,(주)SNT에너지,100840,2012,2008/02/22,,9087721.0,132241542.0,,,,,,,,,,,,,,,,,,,,,,,,,
78,(주)SNT에너지,100840,2013,2008/02/22,,16189688.0,146414029.0,,,,,,,,,,,,,,,,,,,,,,,,,
79,(주)SNT에너지,100840,2014,2008/02/22,,11264253.0,155295746.0,,,,,,,,,,,,,,,,,,,,,,,,,
80,(주)SNT에너지,100840,2015,2008/02/22,,27029932.0,178997896.0,,,,,,,,,,,,,,,,,,,,,,,,,
81,(주)SNT에너지,100840,2016,2008/02/22,,1659742.0,177539695.0,,,,,,,,,,,,,,,,,,,,,,,,,
82,(주)SNT에너지,100840,2017,2008/02/22,,4581777.0,182639447.0,,,,,,,,,,,,,,,,,,,,,,,,,
83,(주)SNT에너지,100840,2018,2008/02/22,,1825479.0,185324177.0,,,,,,,,,,,,,,,,,,,,,,,,,
84,(주)SNT에너지,100840,2019,2008/02/22,333897235.0,14578960.0,199840308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.24,4.63,6.31,83.27,0.02,6551.09,52.63,303.82,288.69,31.18,36.31,27.54,0.03,1771.27,73.64,65.51,154.8
85,(주)SNT에너지,100840,2020,2008/02/22,335351657.0,9407217.0,200789971.0,0.44,2.09,-0.6,-3.75,11.28,32.35,-36.66,-39.44,4.12,2.92,4.07,83.11,0.02,6571.17,55.82,251.91,244.37,83.83,42.24,34.3,0.3,432.67,73.55,65.71,140.12
86,(주)SNT에너지,100840,2021,2008/02/22,332143488.0,12937903.0,208603028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.31,3.76,5.11,83.21,0.04,6802.3,54.11,301.77,297.75,134.01,35.65,27.02,0.62,212.88,76.87,68.02,192.11
87,(주)SNT홀딩스,036530,2011,2002/10/22,2124828265.0,5766277.0,275025622.0,4.21,-0.21,9.25,2.21,10.91,-0.27,13.66,-3.75,5.24,4.19,6.88,87.11,0.17,6053.63,82.61,174.28,128.31,39.04,62.08,45.6,6.48,16.87,61.46,170.46,121.38
88,(주)SNT홀딩스,036530,2012,2002/10/22,2074903906.0,9011145.0,277571231.0,-2.35,-0.64,-4.13,7.44,0.29,-28.89,-14.76,3.14,3.79,3.01,5.6,87.8,0.18,6539.94,81.64,184.89,132.96,35.94,57.43,40.99,5.18,20.28,63.4,171.68,120.37
89,(주)SNT홀딩스,036530,2013,2002/10/22,2149176237.0,8018313.0,279666869.0,3.58,0.22,7.2,4.85,-5.54,-1.04,-16.31,-1.97,3.41,2.55,4.41,87.49,0.18,6793.14,78.46,188.1,133.44,48.56,56.38,41.42,5.86,30.38,63.59,178.38,132.81
90,(주)SNT홀딩스,036530,2014,2002/10/22,2039388864.0,6891599.0,282298007.0,-5.11,-3.15,-7.08,4.62,-1.52,-22.75,30.84,6.02,4.32,3.2,5.51,88.9,0.08,7118.65,77.02,208.24,148.81,50.97,50.39,35.23,2.46,34.38,66.14,176.06,125.58
91,(주)SNT홀딩스,036530,2015,2002/10/22,2169311305.0,27765789.0,306862777.0,6.37,-1.52,14.66,6.51,3.89,146.6,10.19,6.29,7.22,5.53,5.75,82.55,0.06,7370.38,67.26,263.0,201.03,82.77,41.85,28.36,0.49,218.55,70.16,193.02,129.51
92,(주)SNT홀딩스,036530,2016,2002/10/22,2210178425.0,6923176.0,309610694.0,1.88,-2.3,5.66,0.43,-4.65,-55.25,-91.61,-72.7,0.66,0.46,0.47,86.92,0.06,7190.35,65.64,247.45,198.81,88.69,44.37,31.82,0.47,286.46,68.93,187.73,139.31
93,(주)SNT홀딩스,036530,2017,2002/10/22,2146174938.0,4172419.0,308140653.0,-2.9,-4.62,-1.46,1.47,-1.92,-16.11,146.91,-47.56,1.71,1.19,1.14,86.42,0.07,7297.38,63.09,264.63,216.54,92.09,41.26,29.54,0.43,178.66,70.44,186.3,138.42
