,회사명,거래소코드,회계년도,직급명,1인평균지급액(임원),1인년간평균급여(직원)
229,(주)SH에너지화학,2360,2019/12,"등기이사(사외이사,감사위원회 위원 제외)",369000.0,59000.0
232,(주)SH에너지화학,2360,2019/12,사외이사 (감사위원회 위원 제외),0.0,59000.0
235,(주)SH에너지화학,2360,2020/12,"등기이사(사외이사,감사위원회 위원 제외)",358000.0,61000.0
236,(주)SH에너지화학,2360,2020/12,사외이사 (감사위원회 위원 제외),0.0,61000.0
238,(주)SH에너지화학,2360,2021/12,"등기이사(사외이사,감사위원회 위원 제외)",398000.0,64000.0
239,(주)SH에너지화학,2360,2021/12,사외이사 (감사위원회 위원 제외),0.0,64000.0
242,(주)SIMPAC,9160,2011/12,등기이사,613000.0,55136.0
246,(주)SIMPAC,9160,2012/12,등기이사,592000.0,47898.0
250,(주)SIMPAC,9160,2013/12,등기이사,556000.0,48000.0
254,(주)SIMPAC,9160,2014/12,등기이사,433000.0,47000.0
256,(주)SIMPAC,9160,2015/12,등기이사,302000.0,47000.0
259,(주)SIMPAC,9160,2016/12,사외이사 (감사위원회 위원 제외),36000.0,48000.0
260,(주)SIMPAC,9160,2016/12,"등기이사(사외이사,감사위원회 위원 제외)",215000.0,48000.0
264,(주)SIMPAC,9160,2017/12,사외이사 (감사위원회 위원 제외),36000.0,44000.0
266,(주)SIMPAC,9160,2017/12,"등기이사(사외이사,감사위원회 위원 제외)",292000.0,44000.0
267,(주)SIMPAC,9160,2018/12,"등기이사(사외이사,감사위원회 위원 제외)",195000.0,38000.0
270,(주)SIMPAC,9160,2018/12,사외이사 (감사위원회 위원 제외),35000.0,38000.0
272,(주)SIMPAC,9160,2019/12,"등기이사(사외이사,감사위원회 위원 제외)",502000.0,50000.0
274,(주)SIMPAC,9160,2019/12,사외이사 (감사위원회 위원 제외),58000.0,50000.0
277,(주)SIMPAC,9160,2020/12,사외이사 (감사위원회 위원 제외),53000.0,50000.0
278,(주)SIMPAC,9160,2020/12,"등기이사(사외이사,감사위원회 위원 제외)",611000.0,50000.0
280,(주)SIMPAC,9160,2021/12,"등기이사(사외이사,감사위원회 위원 제외)",947000.0,63000.0
281,(주)SIMPAC,9160,2021/12,사외이사 (감사위원회 위원 제외),56000.0,63000.0
284,(주)SNT에너지,100840,2011/12,등기이사,188000.0,50747.0
287,(주)SNT에너지,100840,2012/12,등기이사,65483.0,50747.0
290,(주)SNT에너지,100840,2013/12,등기이사,109625.0,54656.0
296,(주)SNT에너지,100840,2014/12,등기이사,291354.0,49540.0
299,(주)SNT에너지,100840,2015/12,등기이사,166000.0,53837.0
301,(주)SNT에너지,100840,2016/12,"등기이사(사외이사,감사위원회 위원 제외)",193300.0,56394.0
302,(주)SNT에너지,100840,2016/12,사외이사 (감사위원회 위원 제외),61000.0,56394.0
306,(주)SNT에너지,100840,2017/12,사외이사 (감사위원회 위원 제외),63056.0,58434.0
308,(주)SNT에너지,100840,2017/12,"등기이사(사외이사,감사위원회 위원 제외)",113817.0,58434.0
311,(주)SNT에너지,100840,2018/12,"등기이사(사외이사,감사위원회 위원 제외)",116333.0,56516.0
312,(주)SNT에너지,100840,2018/12,사외이사 (감사위원회 위원 제외),61000.0,56516.0
313,(주)SNT에너지,100840,2019/12,"등기이사(사외이사,감사위원회 위원 제외)",166289.0,58621.0
314,(주)SNT에너지,100840,2019/12,사외이사 (감사위원회 위원 제외),63000.0,58621.0
317,(주)SNT에너지,100840,2020/12,사외이사 (감사위원회 위원 제외),60000.0,62019.0
320,(주)SNT에너지,100840,2020/12,"등기이사(사외이사,감사위원회 위원 제외)",140911.0,62019.0
321,(주)SNT에너지,100840,2021/12,사외이사 (감사위원회 위원 제외),61000.0,66392.0
323,(주)SNT에너지,100840,2021/12,"등기이사(사외이사,감사위원회 위원 제외)",213800.0,66392.0
325,(주)SNT홀딩스,36530,2011/12,등기이사,90000.0,65000.0
329,(주)SNT홀딩스,36530,2012/12,등기이사,134000.0,104000.0
332,(주)SNT홀딩스,36530,2013/12,등기이사,107000.0,98000.0
336,(주)SNT홀딩스,36530,2014/12,등기이사,103000.0,86000.0
