회사명,거래소코드,회계년도,[제조]비유동비율(IFRS연결),[제조]유동비율(IFRS연결),[제조]당좌비율(IFRS연결),[제조]현금비율(IFRS연결),[제조]부채비율(IFRS연결),[제조]유동부채비율(IFRS연결),[제조]차입금비율(IFRS연결),[제조]이자보상배율(이자비용)(IFRS연결),[제조]유보액대비율(IFRS연결),[제조]유보액 대 납입자본배율(IFRS연결),[제조]투자집중도(IFRS연결)
(주)TCC스틸,002710,2012/12,145.39,113.94,61.44,8.23,142.04,84.83,100.62,0.57,39.2,12.61,69.14
(주)TCC스틸,002710,2013/12,157.32,141.27,66.03,8.87,164.27,75.7,124.1,-0.59,35.53,10.73,75.67
(주)TCC스틸,002710,2014/12,168.1,82.22,38.38,2.07,191.48,150.05,148,0.02,31.85,9.24,74.63
(주)TCC스틸,002710,2015/12,158.36,156.35,124.48,6.79,337.6,178.6,195.51,2.17,18.36,3.09,42.61
(주)TCC스틸,002710,2016/12,156.9,128.15,73.14,9.46,173.78,91.2,113.28,2.53,30.55,3.87,43.03
(주)TCC스틸,002710,2017/12,157.01,75.13,42.16,5.42,176.16,158.6,127.28,1.55,30.15,3.76,46.52
(주)TCC스틸,002710,2018/12,135.97,163.32,89.05,24.95,171.53,83.01,109.51,3.3,30.83,4.21,50.79
(주)TCC스틸,002710,2019/12,141.4,89.76,46.01,9.02,168.92,142.07,115.69,2.27,31.37,4.41,47.47
(주)TCC스틸,002710,2020/12,140.26,102.32,61.77,10.39,153.25,110.42,116.01,0.16,32.39,4.32,46.16
(주)TCC스틸,002710,2021/12,106.3,145.64,91.79,30.1,136.42,89.34,80.67,4.95,36.23,5.66,49.35
(주)가비아,079940,2011/12,74.21,207.38,207.27,86.37,33.47,28.57,7.77,22.28,67.02,6.84,109.62
(주)가비아,079940,2012/12,90.33,215.35,213.68,87.48,44.62,25.21,22.44,15.43,62.77,8.03,114.83
(주)가비아,079940,2013/12,78.45,249.42,248.8,82.18,32.99,21.87,15.55,15.81,69.24,9.47,122.77
(주)가비아,079940,2014/12,74.99,258.29,258.29,98,30.51,21.49,11.92,24.59,71.01,10.34,118.05
(주)가비아,079940,2015/12,62.84,395.42,395.42,175.75,24.95,15.71,7.15,64.83,74.76,11.61,113.22
(주)가비아,079940,2016/12,68.32,295.5,288.81,124.81,31.1,21.25,9.8,83.64,71.87,13.36,122.06
(주)가비아,079940,2017/12,67.34,224.87,219.17,101.89,33.52,29.43,9.61,53.72,70.92,13.98,112.61
(주)가비아,079940,2018/12,64.26,262,255.35,101.66,32.62,26.09,10.39,62.3,72.06,16.13,110.87
(주)가비아,079940,2019/12,83.76,201.58,195.45,66.71,48.13,31.93,26.05,34.25,64.98,19.19,115.13
(주)가비아,079940,2020/12,78.69,244.16,238.12,102.41,50.13,29.26,29.09,58.63,64.67,24.85,148.01
(주)가비아,079940,2021/12,71.96,264.92,249.77,66.61,48.08,28.73,28.04,110.79,66.12,29.6,147.33
(주)강스템바이오텍,217730,2015/12,,,,,,,,,,,
(주)강스템바이오텍,217730,2016/12,,,,,,,,,,,
(주)강스템바이오텍,217730,2017/12,89.67,396.43,369.34,61.46,92.79,26.01,58.21,-8.15,34.65,2.01,392.73
(주)강스템바이오텍,217730,2018/12,50.86,244.28,234.71,16.06,53.83,42.15,36.59,-12.31,50.78,3.57,660.52
(주)강스템바이오텍,217730,2019/12,84.74,268.99,267.69,37.29,65.37,29.98,45.01,-21.5,49.87,4.71,1116.6
(주)강스템바이오텍,217730,2020/12,77.62,366.62,363.72,81.67,69.63,25.1,37.33,-33.4,43.57,2.83,895.56
(주)강스템바이오텍,217730,2021/12,57.26,290.81,287.41,33.56,56.28,34.05,29.28,-29.87,45.57,2.47,813.4
(주)강원랜드,035250,2011/12,68.56,263.97,263.46,12.14,20.11,19.53,0,1142.61,85.46,21.66,188.47
(주)강원랜드,035250,2012/12,73.41,224.82,224.59,17.1,22.54,21.85,0,565.68,83.92,22.8,194.05
(주)강원랜드,035250,2013/12,80.3,189.47,189.21,29.28,23.21,22.65,0,1421.81,83.33,24.16,177.85
(주)강원랜드,035250,2014/12,74.05,219.66,219.47,16.33,24.76,23.08,0,2073.72,82.14,25.92,180.75
(주)강원랜드,035250,2015/12,64.73,263.38,263.14,15.91,23.12,22.17,0,2623.81,83.04,28.65,187.08
(주)강원랜드,035250,2016/12,66.7,251.71,251.53,12.94,22.33,22.1,0.03,836.02,83.43,31.04,181.95
(주)강원랜드,035250,2017/12,57.73,317.65,317.46,15.49,19.55,19.46,0.04,2241.82,85.25,33.36,212.37
(주)강원랜드,035250,2018/12,68.93,276.57,276.38,7.68,17.97,17.73,0,1834.66,86.35,34.16,212.66
(주)강원랜드,035250,2019/12,68.86,288.36,287.8,9.31,19.38,17.52,1.83,255.56,85.28,35.38,211.93
