회사명,거래소코드,회계년도,상장일,[제조]자산(*)(IFRS연결),[제조]당기순이익(손실)(IFRS),[제조]      미처분이익잉여금(결손금)(IFRS)
(주)경농,002100,2012/12,1977/06/30,269412832,6590012,6440614
(주)경농,002100,2013/12,1977/06/30,255984725,13751960,14939349
(주)경농,002100,2014/12,1977/06/30,284623063,9271741,22757587
(주)경농,002100,2015/12,1977/06/30,316341853,6488880,27789493
(주)경농,002100,2016/12,1977/06/30,320915151,5770891,33632666
(주)경농,002100,2017/12,1977/06/30,335873898,11539079,41523675
(주)경농,002100,2018/12,1977/06/30,357260541,9613575,57032090
(주)경농,002100,2019/12,1977/06/30,370874091,7061857,59627785
(주)경농,002100,2020/12,1977/06/30,371525656,10459504,66157066
(주)경농,002100,2021/12,1977/06/30,388785779,24475008,82967426
(주)경동나비엔,009450,2011/12,1993/08/31,263211016,9445090,-3749483
(주)경동나비엔,009450,2012/12,1993/08/31,299729837,9214927,8878935
(주)경동나비엔,009450,2013/12,1993/08/31,354779867,9251575,10040304
(주)경동나비엔,009450,2014/12,1993/08/31,401658957,9082312,7657879
(주)경동나비엔,009450,2015/12,1993/08/31,402084368,19320742,20246463
(주)경동나비엔,009450,2016/12,1993/08/31,429754702,28636194,27385117
(주)경동나비엔,009450,2017/12,1993/08/31,503697210,16291264,16090438
(주)경동나비엔,009450,2018/12,1993/08/31,583595818,22818064,23169757
(주)경동나비엔,009450,2019/12,1993/08/31,609808343,20474157,18022209
(주)경동나비엔,009450,2020/12,1993/08/31,734688738,18888348,17015921
(주)경동나비엔,009450,2021/12,1993/08/31,933884529,62278873,63028276
(주)경동도시가스,267290,2017/12,2017/05/12,710280194,17678888,18455504
(주)경동도시가스,267290,2018/12,2017/05/12,778269612,33981432,30085450
(주)경동도시가스,267290,2019/12,2017/05/12,749999474,24355132,23910438
(주)경동도시가스,267290,2020/12,2017/05/12,699658165,18813524,21540682
(주)경동도시가스,267290,2021/12,2017/05/12,904491766,22198050,24039089
(주)경동인베스트,012320,2011/12,1997/03/07,1001490869,50053289,130008497
(주)경동인베스트,012320,2012/12,1997/03/07,1209924561,56917580,68372008
(주)경동인베스트,012320,2013/12,1997/03/07,1205008353,46253877,59638385
(주)경동인베스트,012320,2014/12,1997/03/07,1320789066,44839494,58628373
(주)경동인베스트,012320,2015/12,1997/03/07,1167819522,-6095609,7980568
(주)경동인베스트,012320,2016/12,1997/03/07,1126122628,16356641,31739929
(주)경동인베스트,012320,2017/12,1997/03/07,599276331,7248447,20353997
(주)경동인베스트,012320,2018/12,1997/03/07,592002536,1574966,20430279
(주)경동인베스트,012320,2019/12,1997/03/07,605467383,-917643,18310918
(주)경동인베스트,012320,2020/12,1997/03/07,589277835,1309750,18361115
(주)경동인베스트,012320,2021/12,1997/03/07,577693061,357360,17478589
(주)경방,000050,2011/12,1956/03/03,1352324332,-1822388,597747658
(주)경방,000050,2012/12,1956/03/03,1335039930,-7074187,-5962385
(주)경방,000050,2013/12,1956/03/03,1296989142,15103835,16141450
(주)경방,000050,2014/12,1956/03/03,1301841379,14235818,15374296
(주)경방,000050,2015/12,1956/03/03,1318643312,21604723,21414458
(주)경방,000050,2016/12,1956/03/03,1301910960,30977743,31522293
(주)경방,000050,2017/12,1956/03/03,1274042237,25679379,26266923
(주)경방,000050,2018/12,1956/03/03,1301792841,29198252,30030426
(주)경방,000050,2019/12,1956/03/03,1370742491,22223943,21282158
(주)경방,000050,2020/12,1956/03/03,1264902051,26011323,26660572
(주)경방,000050,2021/12,1956/03/03,1270805118,23305944,23988607
(주)경보제약,214390,2015/12,2015/06/29,,26109623,68362570
(주)경보제약,214390,2016/12,2015/06/29,,12705930,74657745
(주)경보제약,214390,2017/12,2015/06/29,,17963310,87211369
(주)경보제약,214390,2018/12,2015/06/29,,13116049,93602255
(주)경보제약,214390,2019/12,2015/06/29,,5285239,93325506
(주)경보제약,214390,2020/12,2015/06/29,,9404446,99981905
(주)경보제약,214390,2021/12,2015/06/29,,-7495179,90122867
(주)경인양행,012610,2011/12,1995/10/05,319596954,2788642,103729282
(주)경인양행,012610,2012/12,1995/10/05,287452678,4475441,104869723
(주)경인양행,012610,2013/12,1995/10/05,316944796,12327177,114350896
(주)경인양행,012610,2014/12,1995/10/05,313039125,9090269,120528345
(주)경인양행,012610,2015/12,1995/10/05,326687437,107330,119714355
(주)경인양행,012610,2016/12,1995/10/05,344298515,3724987,122587521
(주)경인양행,012610,2017/12,1995/10/05,357951470,531273,122341974
(주)경인양행,012610,2018/12,1995/10/05,412996589,7419717,128439161
(주)경인양행,012610,2019/12,1995/10/05,472081003,4797711,131519052
(주)경인양행,012610,2020/12,1995/10/05,505102151,-10222700,119052013
(주)경인양행,012610,2021/12,1995/10/05,579492465,18015605,134798780
(주)고려시멘트,198440,2014/12,2014/08/13,,,
(주)고려시멘트,198440,2015/12,2014/08/13,,,
(주)고려시멘트,198440,2016/12,2014/08/13,,,
(주)고려시멘트,198440,2017/12,2014/08/13,,1003761,32393982
(주)고려시멘트,198440,2018/12,2014/08/13,,4645869,35654472
(주)고려시멘트,198440,2019/12,2014/08/13,,3396444,37445001
(주)고려시멘트,198440,2020/12,2014/08/13,,4445204,41335159
(주)고려시멘트,198440,2021/12,2014/08/13,,4638804,45523632
(주)고바이오랩,348150,2020/12,2020/11/18,58537097,-56315205,-113047808
(주)고바이오랩,348150,2021/12,2020/11/18,105285475,-17475045,-130522854
(주)고영테크놀러지,098460,2011/12,2008/06/03,87006201,16580579,47848485
(주)고영테크놀러지,098460,2012/12,2008/06/03,103351965,14836215,60343436
(주)고영테크놀러지,098460,2013/12,2008/06/03,120951617,14816762,72526294
(주)고영테크놀러지,098460,2014/12,2008/06/03,141720465,22775832,92114258
(주)고영테크놀러지,098460,2015/12,2008/06/03,158857627,23271756,110760169
(주)고영테크놀러지,098460,2016/12,2008/06/03,195121241,28063238,133785558
(주)고영테크놀러지,098460,2017/12,2008/06/03,205207385,28907302,157184491
(주)고영테크놀러지,098460,2018/12,2008/06/03,279059436,42430216,189280980
(주)고영테크놀러지,098460,2019/12,2008/06/03,305481184,34702997,214475939
(주)고영테크놀러지,098460,2020/12,2008/06/03,302574461,7447169,214868643
(주)고영테크놀러지,098460,2021/12,2008/06/03,368329267,38620523,246231645
(주)골드앤에스,035290,2011/12,1999/12/07,46677146,1101095,-4831694
(주)골드앤에스,035290,2012/12,1999/12/07,51950606,-6036290,-10874575
(주)골드앤에스,035290,2013/12,1999/12/07,51442505,-16378087,-27316073
(주)골드앤에스,035290,2014/12,1999/12/07,46528474,-8058617,-35151203
(주)골드앤에스,035290,2015/12,1999/12/07,24102094,-9396462,-44385142
(주)골드앤에스,035290,2016/12,1999/12/07,18671644,388207,-15038196
(주)골드앤에스,035290,2017/12,1999/12/07,17173934,-8062623,-24499000
(주)골드앤에스,035290,2018/12,1999/12/07,42472631,-4045846,-28425696
(주)골드앤에스,035290,2020/12,1999/12/07,20634172,1635730,-52810957
(주)골드앤에스,035290,2021/12,1999/12/07,26144813,770698,-52040647
(주)골드퍼시픽,038530,2011/12,2000/06/09,,990336,1597962
(주)골드퍼시픽,038530,2012/12,2000/06/09,,254546,1852508
(주)골드퍼시픽,038530,2013/12,2000/06/09,33687572,-8455942,-6603433
(주)골드퍼시픽,038530,2014/12,2000/06/09,41948832,-7306525,-7211861
(주)골드퍼시픽,038530,2015/12,2000/06/09,28573328,-12525668,-14405946
(주)골드퍼시픽,038530,2016/12,2000/06/09,,-23433498,-29994289
(주)골드퍼시픽,038530,2017/12,2000/06/09,,-965087,-30966595
(주)골드퍼시픽,038530,2018/12,2000/06/09,37825442,-4380343,-5057219
(주)골드퍼시픽,038530,2019/12,2000/06/09,,-31603970,-36661189
(주)골드퍼시픽,038530,2020/12,2000/06/09,,-1498118,-3569177
(주)골드퍼시픽,038530,2021/12,2000/06/09,,-19466291,-23035468
(주)골프존,215000,2015/12,2015/04/03,178132253,33262807,33262807
(주)골프존,215000,2016/12,2015/04/03,187914226,35913366,41577305
(주)골프존,215000,2017/12,2015/04/03,253672419,75544308,107085661
(주)골프존,215000,2018/12,2015/04/03,254057808,21663391,113636605
(주)골프존,215000,2019/12,2015/04/03,312587283,19704546,121737082
(주)골프존,215000,2020/12,2015/04/03,367293667,36329008,145145446
(주)골프존,215000,2021/12,2015/04/03,483601164,74185362,203649633
(주)골프존뉴딘홀딩스,121440,2011/12,2011/05/20,378054302,47591974,192647413
(주)골프존뉴딘홀딩스,121440,2012/12,2011/05/20,540922890,72099265,254871405
(주)골프존뉴딘홀딩스,121440,2013/12,2011/05/20,637840057,4493226,243272534
(주)골프존뉴딘홀딩스,121440,2014/12,2011/05/20,762037240,63571492,290630435
(주)골프존뉴딘홀딩스,121440,2015/12,2011/05/20,767325175,890006593,1160446286
(주)골프존뉴딘홀딩스,121440,2016/12,2011/05/20,760772930,-20255655,187690307
(주)골프존뉴딘홀딩스,121440,2017/12,2011/05/20,756500949,-21778628,160408570
(주)골프존뉴딘홀딩스,121440,2018/12,2011/05/20,774743339,-7653686,168367243
(주)골프존뉴딘홀딩스,121440,2019/12,2011/05/20,776384700,-30341791,132647992
(주)골프존뉴딘홀딩스,121440,2020/12,2011/05/20,795768970,27193646,159050566
(주)골프존뉴딘홀딩스,121440,2021/12,2011/05/20,939417561,134030981,283756378
(주)광림,014200,2011/12,1993/07/07,,2583332,21845748
(주)광림,014200,2012/12,1993/07/07,,586385,21709638
(주)광림,014200,2013/12,1993/07/07,,1630750,22951535
(주)광림,014200,2014/12,1993/07/07,244886480,1137559,24414113
(주)광림,014200,2015/12,1993/07/07,,9223597,33875742
(주)광림,014200,2016/12,1993/07/07,229596737,437352,28423553
(주)광림,014200,2017/12,1993/07/07,208058303,86196134,114761914
(주)광림,014200,2018/12,1993/07/07,187812629,-58294056,56133686
(주)광림,014200,2019/12,1993/07/07,252468254,-68290742,-12267222
(주)광림,014200,2020/12,1993/07/07,212123388,-10061099,75081171
(주)광림,014200,2021/12,1993/07/07,268834328,-9718771,65535974
(주)광명전기,017040,2011/12,1990/09/14,123886511,-75153,12973531
(주)광명전기,017040,2012/12,1990/09/14,131064345,-1564026,11067160
(주)광명전기,017040,2013/12,1990/09/14,120910764,5301060,16571739
(주)광명전기,017040,2014/12,1990/09/14,138580023,6978508,22250632
(주)광명전기,017040,2015/12,1990/09/14,131457603,3442541,26311987
(주)광명전기,017040,2016/12,1990/09/14,146859319,15612709,42201521
(주)광명전기,017040,2017/12,1990/09/14,152717140,-1349854,41560780
(주)광명전기,017040,2018/12,1990/09/14,151823119,3182514,45744306
(주)광명전기,017040,2019/12,1990/09/14,156712705,6470387,52341687
(주)광명전기,017040,2020/12,1990/09/14,165884690,4892166,57126459
(주)광명전기,017040,2021/12,1990/09/14,169926627,4589096,61283043
(주)광무,029480,2011/12,1996/08/27,75946478,-51537196,-50928340
(주)광무,029480,2012/12,1996/08/27,55788602,-15113066,-65909173
(주)광무,029480,2013/12,1996/08/27,35384615,-33154332,-32895800
(주)광무,029480,2014/12,1996/08/27,,-859721,-3432736
(주)광무,029480,2015/12,1996/08/27,,-2727754,-4826988
(주)광무,029480,2016/12,1996/08/27,,95615,-4433929
(주)광무,029480,2017/12,1996/08/27,,-3352682,-7683685
(주)광무,029480,2018/12,1996/08/27,28431748,-4875184,-12504062
(주)광무,029480,2019/12,1996/08/27,63139837,-6275093,-12023940
(주)광무,029480,2020/12,1996/08/27,38625151,-19141822,-18803742
(주)광무,029480,2021/12,1996/08/27,104044336,-880063,-240827
(주)광주신세계,037710,2011/12,2002/02/07,,52281979,48627278
(주)광주신세계,037710,2012/12,2002/02/07,,53769536,53528489
(주)광주신세계,037710,2013/12,2002/02/07,,48569715,49194954
(주)광주신세계,037710,2014/12,2002/02/07,,42236355,42137572
(주)광주신세계,037710,2015/12,2002/02/07,,45901413,44893442
(주)광주신세계,037710,2016/12,2002/02/07,,45554028,45102832
(주)광주신세계,037710,2017/12,2002/02/07,,47846191,47176478
(주)광주신세계,037710,2018/12,2002/02/07,,45093180,43469362
(주)광주신세계,037710,2019/12,2002/02/07,,47668959,47045670
(주)광주신세계,037710,2020/12,2002/02/07,,43159504,42823712
(주)광주신세계,037710,2021/12,2002/02/07,,52393411,53281274
(주)구스앤홈,329050,2019/12,2019/07/12,,,
(주)구스앤홈,329050,2020/12,2019/07/12,,,
(주)구영테크,053270,2011/12,2002/02/07,149471330,985788,10778303
(주)구영테크,053270,2012/12,2002/02/07,161163024,1250176,12104966
(주)구영테크,053270,2013/12,2002/02/07,149230187,1137402,13445811
(주)구영테크,053270,2014/12,2002/02/07,155857242,1326679,13244564
(주)구영테크,053270,2015/12,2002/02/07,161330950,3196300,17342806
(주)구영테크,053270,2016/12,2002/02/07,166748490,3920237,20082261
(주)구영테크,053270,2017/12,2002/02/07,187009683,1239184,21253981
(주)구영테크,053270,2018/12,2002/02/07,202572970,3912117,25079740
(주)구영테크,053270,2019/12,2002/02/07,206569873,1558141,25637693
(주)구영테크,053270,2020/12,2002/02/07,211767320,901721,25765636
(주)구영테크,053270,2021/12,2002/02/07,222891436,2852890,28281709
(주)국동,005320,2011/12,1996/12/24,68162305,-12930687,-30646846
(주)국동,005320,2012/12,1996/12/24,65808287,262553,290285
(주)국동,005320,2013/12,1996/12/24,73040609,2373991,2677128
(주)국동,005320,2014/12,1996/12/24,89271398,4692501,7335841
(주)국동,005320,2015/12,1996/12/24,93758552,5321778,12793336
(주)국동,005320,2016/12,1996/12/24,124126720,4379974,17173311
(주)국동,005320,2017/12,1996/12/24,106307080,-6593433,10579878
(주)국동,005320,2018/12,1996/12/24,123134702,1351547,11931426
(주)국동,005320,2019/12,1996/12/24,133723726,-6989987,4941439
(주)국동,005320,2020/12,1996/12/24,180700682,-891014,4050424
(주)국동,005320,2021/12,1996/12/24,168474551,-1926513,-727
(주)국보,001140,2011/12,1989/12/02,98869465,-176708,16329686
(주)국보,001140,2012/12,1989/12/02,98494841,-1916073,14085725
(주)국보,001140,2013/12,1989/12/02,98315386,-3766842,10072595
(주)국보,001140,2014/12,1989/12/02,91005502,-6633427,3220507
(주)국보,001140,2015/12,1989/12/02,83085438,-3679630,-555102
(주)국보,001140,2016/12,1989/12/02,81308887,-5034348,-4015594
(주)국보,001140,2017/12,1989/12/02,73270170,-2761653,-6536672
(주)국보,001140,2018/12,1989/12/02,48188113,-4038217,-11205688
(주)국보,001140,2019/12,1989/12/02,115356448,-9851123,-20400100
(주)국보,001140,2020/12,1989/12/02,90823631,-10080819,-30058770
(주)국보,001140,2021/12,1989/12/02,102314952,-15306759,-45207444
(주)국보디자인,066620,2011/12,2002/09/05,80200900,6607794,35567217
