,상장협 산업분류 코드(대분류),회계년도,산업매출성장률
127,90000,2019,0.40912415307436945
128,100000,2019,7.446775864134869
129,120000,2019,17.530920049161924
130,130000,2019,-17.897348427451753
131,140000,2019,3.7832623582494618
132,160000,2019,7.825362033150807
133,180000,2019,13.046208451441688
134,190000,2019,5.656990122481087
135,10000,2020,-0.9143981639481713
136,20000,2020,-13.544832324035161
137,30000,2020,-0.33504662403449625
138,40000,2020,-6.201932695781087
139,60000,2020,-15.607411452946863
140,70000,2020,-8.026352875441056
141,80000,2020,-18.355799368147153
142,90000,2020,1.388901256524
143,100000,2020,1.8590308552234092
144,120000,2020,33.221385525460654
145,130000,2020,1.3645315257987178
146,140000,2020,0.40635524459784467
147,160000,2020,-4.357421149828166
148,180000,2020,-60.24989333501847
149,190000,2020,2.431253456253857
150,10000,2021,1.2970860030511622
151,20000,2021,30.13302733676191
152,30000,2021,20.572829812810323
153,40000,2021,9.59445695989045
154,60000,2021,11.015967441668728
155,70000,2021,18.635918973136057
156,80000,2021,38.26992189864771
157,90000,2021,17.20129065116678
158,100000,2021,9.168240901638946
159,120000,2021,20.264969591659685
160,130000,2021,7.89836029131461
161,140000,2021,51.75177504318569
162,160000,2021,16.86418591937453
163,180000,2021,6.756618252082647
164,190000,2021,8.566911896645468
165,50000,2011,0.0
166,50000,2012,8.275838491008836
167,50000,2013,-3.078499445349192
168,50000,2014,0.5418824560272206
169,50000,2015,-38.69746173791262
170,50000,2016,11.167589452629944
171,50000,2017,65.69319465559249
172,50000,2018,7.823580522449691
173,50000,2019,27.303890581530755
174,50000,2020,0.1990638968475178
175,50000,2021,16.53380186100517
