회사명,거래소코드,회계년도,[제조]자산(*)(IFRS연결),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결),배당금_현금,[제조]      장기차입금(*)(IFRS연결),[제조]매출액증가율(IFRS연결)
(주)STX,011810,2019/12,560107000,528000,,38017000,-2.12
(주)STX,011810,2020/12,617563000,57915000,,27674000,-33.69
(주)STX,011810,2021/12,676149000,-12528000,,30523000,-5.13
(주)TCC스틸,002710,2011/12,454329510,-10245999,2195000,26981943,11.61
(주)TCC스틸,002710,2012/12,547013976,-4610373,1879000,69300233,-2.54
(주)TCC스틸,002710,2013/12,543708595,-29220038,832759,119777726,-0.1
(주)TCC스틸,002710,2014/12,551000563,-21440429,882759,30545120,3.63
(주)TCC스틸,002710,2015/12,376394571,30047778,,113039900,-4.47
(주)TCC스틸,002710,2016/12,282914735,-35273178,,60103220,-10.36
(주)TCC스틸,002710,2017/12,278692540,-1168958,,178740,-11.94
(주)TCC스틸,002710,2018/12,304781579,21492009,1706906,78588608,5.57
(주)TCC스틸,002710,2019/12,314210087,-6746810,640090,8063000,5.81
(주)TCC스틸,002710,2020/12,306758932,-5592098,340407,6539560,-1.23
(주)TCC스틸,002710,2021/12,366996615,7630671,3479073,5162285,24.28
(주)가비아,079940,2011/12,64954440,9650833,367000,953300,30.07
(주)가비아,079940,2012/12,85244515,13224986,257000,9666660,30.7
(주)가비아,079940,2013/12,91231294,12813443,256706,5500000,2.34
(주)가비아,079940,2014/12,98544072,16223625,260706,4675000,13.8
(주)가비아,079940,2015/12,105081568,19257887,391060,5500000,13.95
(주)가비아,079940,2016/12,125796754,17871404,391060,7200000,11.49
(주)가비아,079940,2017/12,133382584,20444884,391060,1700000,13.74
(주)가비아,079940,2018/12,151440505,21870330,391060,3315000,10.76
(주)가비아,079940,2019/12,199916131,36950567,521413,11463170,15.21
(주)가비아,079940,2020/12,260025259,50082909,782119,27643852,13.98
(주)가비아,079940,2021/12,302957884,40918498,921131,26124828,18.57
(주)강스템바이오텍,217730,2015/12,,,,,
(주)강스템바이오텍,217730,2016/12,,,,,
(주)강스템바이오텍,217730,2017/12,47198979,-10646869,,4260000,0
(주)강스템바이오텍,217730,2018/12,73194018,-11476851,,4438889,0.36
(주)강스템바이오텍,217730,2019/12,113643697,-13321543,,7655556,-34.49
(주)강스템바이오텍,217730,2020/12,82505287,-13994255,,7300000,52.18
(주)강스템바이오텍,217730,2021/12,103147836,-16993514,,5630000,35.75
(주)강원랜드,035250,2011/12,2711401782,417827759,184734000,0,-3.66
(주)강원랜드,035250,2012/12,2906655321,446539739,153068000,0,2.41
(주)강원랜드,035250,2013/12,3102036846,424407127,147999469,0,5.02
(주)강원랜드,035250,2014/12,3375127289,510413141,172328148,0,9.94
(주)강원랜드,035250,2015/12,3690791830,574981576,198684218,0,9.17
(주)강원랜드,035250,2016/12,3978987574,596486851,200711608,940000,3.84
(주)강원랜드,035250,2017/12,4185657487,463050000,200711608,1400000,-5.43
(주)강원랜드,035250,2018/12,4231241354,363918692,182465098,0,-10.37
(주)강원랜드,035250,2019/12,4438119306,407868874,182465098,0,5.7
(주)강원랜드,035250,2020/12,3641632201,-655676332,,0,-68.52
(주)강원랜드,035250,2021/12,3827273464,210874269,,0,64.74
(주)강원에너지,114190,2011/11,,,761000,,
(주)강원에너지,114190,2011/12,,,,,
(주)강원에너지,114190,2012/12,,,103341,,
(주)강원에너지,114190,2012/12,,,530000,,
(주)강원에너지,114190,2013/12,,,380000,,
(주)강원에너지,114190,2014/12,,,,,
(주)강원에너지,114190,2015/12,85457457,9499050,,10000000,0
(주)강원에너지,114190,2016/12,77186606,-15783876,,10004000,-8.45
(주)강원에너지,114190,2017/12,93179394,-3706818,,7200000,93.99
(주)강원에너지,114190,2018/12,93845576,-10173085,,0,4.72
(주)강원에너지,114190,2019/12,56602063,6960049,,3320000,-50.47
(주)강원에너지,114190,2020/12,32968636,-4483215,,2656000,-9.88
(주)강원에너지,114190,2021/12,,,,,
(주)갤럭시아에스엠,011420,2011/12,45110356,5951394,,0,0
(주)갤럭시아에스엠,011420,2012/12,43979072,2801469,,2050000,0
(주)갤럭시아에스엠,011420,2013/12,37636664,4527179,,444977,-15.64
(주)갤럭시아에스엠,011420,2014/12,45274078,-70410,,1778928,-5.49
(주)갤럭시아에스엠,011420,2015/12,68686992,2451666,,478600,42.35
(주)갤럭시아에스엠,011420,2016/12,58444606,-1195544,,0,-15.76
(주)갤럭시아에스엠,011420,2017/12,49831109,-7389242,,0,-29.16
(주)갤럭시아에스엠,011420,2018/12,33253331,-2809869,,0,-40.83
(주)갤럭시아에스엠,011420,2019/12,28241598,903569,,0,30.25
(주)갤럭시아에스엠,011420,2020/12,,,,,
(주)갤럭시아에스엠,011420,2021/12,,,,,
(주)경농,002100,2011/12,173774102,14162963,3197000,57682,0
(주)경농,002100,2012/12,269412832,8796940,2593000,48203,0
(주)경농,002100,2013/12,255984725,18563319,3457632,6635226,43.36
(주)경농,002100,2014/12,284623063,14706590,3840658,9302713,-4.01
(주)경농,002100,2015/12,316341853,-9854199,4287516,10653500,4.21
(주)경농,002100,2016/12,320915151,15996174,4734132,6789500,3.85
(주)경농,002100,2017/12,335873898,15815332,5270072,7131800,1.25
(주)경농,002100,2018/12,357260541,10607249,4466162,4600000,2.96
(주)경농,002100,2019/12,370874091,-1020171,3930223,23600000,6.99
(주)경농,002100,2020/12,371525656,15868144,4466162,4500000,9.14
(주)경농,002100,2021/12,388785779,10815548,6252628,8500000,8.85
(주)경동나비엔,009450,2011/12,263211016,15493744,1247000,8450997,11.09
(주)경동나비엔,009450,2012/12,299729837,27648702,1262000,18461243,11.07
(주)경동나비엔,009450,2013/12,354779867,20912632,1262385,14132101,9.28
(주)경동나비엔,009450,2014/12,401658957,-13266158,1262385,19525050,3.58
(주)경동나비엔,009450,2015/12,402084368,43719574,1262385,15959718,19.36
(주)경동나비엔,009450,2016/12,429754702,61333200,1893578,10988469,13.91
(주)경동나비엔,009450,2017/12,503697210,20111583,2524770,17554750,17.39
(주)경동나비엔,009450,2018/12,583595818,-14286091,3155962,18171374,6.15
(주)경동나비엔,009450,2019/12,609808343,78554868,3787155,23688184,6.54
(주)경동나비엔,009450,2020/12,734688738,57625120,4721174,13346619,12.8
(주)경동나비엔,009450,2021/12,933884529,80668519,6503819,6508770,26.28
(주)경동도시가스,267290,2017/12,710280194,19371687,3535031,12987389,
(주)경동도시가스,267290,2018/12,778269612,120705226,4124203,12123582,84.33
(주)경동도시가스,267290,2019/12,749999474,33973376,5154124,11201253,-11.44
