회사명,거래소코드,회계년도,[제조]매출액순이익률(IFRS연결),[제조]총자본순이익률(IFRS연결),[제조]자기자본순이익률(IFRS연결),[제조]매출원가 대 매출액비율(IFRS연결),[제조]광고선전비 대 매출액비율(IFRS연결),[제조]유보율(IFRS연결)
(주)강원에너지,114190,2017/12,-7.86,-7.57,-12.58,98.95,0.03,504.64
(주)강원에너지,114190,2018/12,1.99,1.83,4.19,93.14,0.01,528.4
(주)강원에너지,114190,2019/12,-83.78,-47.39,-94.77,114.43,0.05,142.2
(주)강원에너지,114190,2020/12,-33.58,-28.75,-64.76,104.85,0,88.33
(주)강원에너지,114190,2021/12,,,,,,
(주)갤럭시아에스엠,011420,2011/12,6.15,6.45,12.95,81.75,0.09,143.1
(주)갤럭시아에스엠,011420,2012/12,0.71,0.88,1.49,86.39,0.12,149.31
(주)갤럭시아에스엠,011420,2013/12,-3.74,-4.26,-7.07,89.94,0.03,119.07
(주)갤럭시아에스엠,011420,2014/12,-0.58,-0.62,-1.14,91.64,0,136.52
(주)갤럭시아에스엠,011420,2015/12,2.98,3.27,5.11,89.65,0.07,261.09
(주)갤럭시아에스엠,011420,2016/12,-2.97,-2.46,-3.3,98.2,0,225.57
(주)갤럭시아에스엠,011420,2017/12,-15.82,-10.9,-13.83,100.41,0,193.97
(주)갤럭시아에스엠,011420,2018/12,-72.54,-38.52,-47.79,124.33,0,92.18
(주)갤럭시아에스엠,011420,2019/12,-4.79,-4.47,-5.7,93.75,0,58.25
(주)갤럭시아에스엠,011420,2020/12,,,,,,
(주)갤럭시아에스엠,011420,2021/12,,,,,,
(주)경농,002100,2011/12,0.42,0.29,0.36,65.33,3.4,1278.16
(주)경농,002100,2012/12,7.53,3.83,7.43,63.97,2.72,1319.33
(주)경농,002100,2013/12,7.1,5.31,8.89,65.78,2.61,1409.85
(주)경농,002100,2014/12,3.77,2.63,4.73,65.14,2.73,1449.95
(주)경농,002100,2015/12,3.55,2.32,4.13,64.71,2.82,1485.56
(주)경농,002100,2016/12,3.12,2,3.86,66.36,2.75,1531.29
(주)경농,002100,2017/12,4.88,3.07,5.83,67.23,2.75,1583.5
(주)경농,002100,2018/12,2.29,1.41,3.08,65.79,2.73,1639.37
(주)경농,002100,2019/12,1.76,1.1,2.47,67.29,2.77,1648.84
(주)경농,002100,2020/12,5.35,3.58,6.69,67.53,2.76,1729.2
(주)경농,002100,2021/12,5.96,4.24,7.85,69.21,2.8,1880.62
(주)경동나비엔,009450,2011/12,2.77,3.77,5.8,73.71,3.11,1216.19
(주)경동나비엔,009450,2012/12,2.42,3.26,5.41,74.56,2.39,1270.59
(주)경동나비엔,009450,2013/12,2.69,3.4,6.19,71.51,3.36,1360.07
(주)경동나비엔,009450,2014/12,2.19,2.48,4.92,73.16,3.56,1380.39
(주)경동나비엔,009450,2015/12,3.27,4.17,8.48,68.76,3.69,1505.49
(주)경동나비엔,009450,2016/12,6.42,9.01,16.79,65.55,3.4,1758.06
(주)경동나비엔,009450,2017/12,3.95,5.79,10.73,65.15,3.24,1918.58
(주)경동나비엔,009450,2018/12,3.41,4.55,9.23,67.13,3.71,2101.97
(주)경동나비엔,009450,2019/12,3.6,4.67,9.59,65.82,3.92,2266.35
(주)경동나비엔,009450,2020/12,4.77,6.19,12.83,62.17,4.01,2463.92
(주)경동나비엔,009450,2021/12,7.31,9.67,20.2,62,3.94,2996.16
(주)경동도시가스,267290,2017/12,,,,,,
(주)경동도시가스,267290,2018/12,2.13,4.59,11.11,92.16,0.04,2615.41
(주)경동도시가스,267290,2019/12,1.73,3.22,7.45,92.09,0,2202.7
(주)경동도시가스,267290,2020/12,1.75,2.62,5.46,90.49,0,2319.58
(주)경동도시가스,267290,2021/12,1.52,2.45,5.9,92.18,0,2446.54
(주)경동인베스트,012320,2011/12,1.64,3.33,7.76,94.14,0.02,2221.57
(주)경동인베스트,012320,2012/12,1.71,3.88,10.11,95.16,0.02,2442.91
(주)경동인베스트,012320,2013/12,1.79,4.13,10.58,95.37,0.02,2741.83
(주)경동인베스트,012320,2014/12,2.92,6.01,13.88,94.93,0.02,3090.96
(주)경동인베스트,012320,2015/12,-1.32,-1.71,-2.85,94.78,0.03,2967.93
(주)경동인베스트,012320,2016/12,1.62,1.67,3.34,90.09,0.05,3094.92
(주)경동인베스트,012320,2017/12,26.62,6.02,10.99,72.14,0.01,2945.53
(주)경동인베스트,012320,2018/12,13.05,5.01,7.35,74.85,0.22,3254.95
(주)경동인베스트,012320,2019/12,3.26,1.48,2.29,82.18,0.23,3405.56
(주)경동인베스트,012320,2020/12,5.31,2.76,3.68,86.21,0.22,3554.06
(주)경동인베스트,012320,2021/12,4.65,2.38,3.43,87.12,0.22,3637.01
(주)경방,000050,2011/12,-0.32,-0.08,-0.18,74.34,0.12,5964.21
(주)경방,000050,2012/12,-2.37,-0.59,-1.26,78.18,0.16,5878.49
(주)경방,000050,2013/12,4.2,1.11,2.32,72.43,0.07,5007.39
(주)경방,000050,2014/12,3.49,0.88,1.79,72.44,0.19,4625
(주)경방,000050,2015/12,4.67,1.27,2.55,71.55,0.16,4736.5
(주)경방,000050,2016/12,7.81,2.25,4.39,71.1,0.18,4859.75
(주)경방,000050,2017/12,7.02,1.97,3.67,70.25,0.03,5000.46
(주)경방,000050,2018/12,5.74,1.57,2.87,69.44,0.09,5111.54
(주)경방,000050,2019/12,12.68,3.26,6.01,71.07,0.12,5391.92
(주)경방,000050,2020/12,3.96,0.99,1.76,70.59,0.16,5422.29
(주)경방,000050,2021/12,5.81,1.75,2.96,64.37,0.23,5593.92
(주)경보제약,214390,2015/12,,,,,,
(주)경보제약,214390,2016/12,,,,,,
(주)경보제약,214390,2017/12,,,,,,
(주)경보제약,214390,2018/12,,,,,,
(주)경보제약,214390,2019/12,,,,,,
(주)경보제약,214390,2020/12,,,,,,
(주)경보제약,214390,2021/12,,,,,,
(주)경인양행,012610,2011/12,1.24,0.9,1.65,85.3,0,768.54
(주)경인양행,012610,2012/12,0.96,0.69,1.49,86.99,0,772.58
(주)경인양행,012610,2013/12,3.92,3.38,6.41,83.39,0,799.06
(주)경인양행,012610,2014/12,3.66,3.22,5.48,82.33,0,839.04
(주)경인양행,012610,2015/12,1.39,1.15,1.01,83.64,0,844.47
(주)경인양행,012610,2016/12,2.49,2.04,2.7,82.96,0,866.28
(주)경인양행,012610,2017/12,1.59,1.36,1.85,84.28,0,873.84
(주)경인양행,012610,2018/12,4.17,3.58,6.59,77.13,0,927.88
(주)경인양행,012610,2019/12,4.56,3.7,6.57,76.38,0,972.94
(주)경인양행,012610,2020/12,-2.3,-1.55,-4.18,79.18,0,913.38
(주)경인양행,012610,2021/12,6.75,5.02,11.1,74.73,0,1009.51
(주)고려시멘트,198440,2014/12,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,
(주)고려시멘트,198440,2017/12,,,,,,
(주)고려시멘트,198440,2018/12,,,,,,
(주)고려시멘트,198440,2019/12,,,,,,
(주)고려시멘트,198440,2020/12,,,,,,
(주)고려시멘트,198440,2021/12,,,,,,
(주)고바이오랩,348150,2020/12,-1199.45,-94.08,-99.43,42.46,0,613.87
(주)고바이오랩,348150,2021/12,-531.63,-18.78,-21.07,34.02,0,905.29
(주)고영테크놀러지,098460,2011/12,18.15,19.83,25.06,42.92,2.08,1508.46
(주)고영테크놀러지,098460,2012/12,14.12,15.99,19.91,42.98,1,1804.37
(주)고영테크놀러지,098460,2013/12,12.45,12.42,15.35,44.66,1.49,2090.86
(주)고영테크놀러지,098460,2014/12,15.48,16.84,20.68,42.19,0.88,1670
(주)고영테크놀러지,098460,2015/12,16.13,15.66,18.99,39,1.2,1988.27
(주)고영테크놀러지,098460,2016/12,17.3,16.79,20.61,37.17,0.91,2360.09
(주)고영테크놀러지,098460,2017/12,13.15,13.36,16.76,35.35,0.89,2670.04
(주)고영테크놀러지,098460,2018/12,17.76,17.47,21.86,37.5,0.94,3360.11
(주)고영테크놀러지,098460,2019/12,13.31,10.11,12.59,36.42,1.44,3660.85
(주)고영테크놀러지,098460,2020/12,5.1,3.01,3.74,36.99,1.05,3692.09
(주)고영테크놀러지,098460,2021/12,16.01,10.75,14.12,36.43,0.62,4192.3
(주)골드앤에스,035290,2011/12,2.11,2.19,4.57,68.48,3.36,-5.68
(주)골드앤에스,035290,2012/12,-14.74,-13.11,-26.93,70.66,4.08,-23.11
(주)골드앤에스,035290,2013/12,-42.57,-32.57,-86.53,71.12,3.52,-66.39
(주)골드앤에스,035290,2014/12,-29.79,-19.02,-90.29,74.96,3.24,46.55
(주)골드앤에스,035290,2015/12,-42.81,-26.91,-76.1,68.47,1.81,53.84
(주)골드앤에스,035290,2016/12,2.46,1.83,2.65,58.81,2.1,42.4
(주)골드앤에스,035290,2017/12,-62.3,-44.5,-57.72,62.51,2.1,20.41
(주)골드앤에스,035290,2018/12,-50.46,-14.69,-32.3,50.75,2.06,21.1
(주)골드앤에스,035290,2020/12,39.52,8.91,35.13,25.2,1.48,-20.49
(주)골드앤에스,035290,2021/12,5.71,3.3,5.21,65.56,0.14,-16.2
(주)골드퍼시픽,038530,2011/12,,,,,,
(주)골드퍼시픽,038530,2012/12,,,,,,
(주)골드퍼시픽,038530,2013/12,-130.88,-27.85,-57.94,114.99,0.61,28.67
(주)골드퍼시픽,038530,2014/12,-44.83,-17.62,-48.56,108.92,0.23,-8.73
(주)골드퍼시픽,038530,2015/12,-54.82,-28.97,-55.42,105.61,0.25,-18.76
(주)골드퍼시픽,038530,2016/12,,,,,,
(주)골드퍼시픽,038530,2017/12,,,,,,
(주)골드퍼시픽,038530,2018/12,-78.34,-11.82,-21.81,24.68,7.02,138.58
(주)골드퍼시픽,038530,2019/12,,,,,,
(주)골드퍼시픽,038530,2020/12,,,,,,
(주)골드퍼시픽,038530,2021/12,,,,,,
(주)골프존,215000,2015/12,,,,,,
(주)골프존,215000,2016/12,16.84,19.44,30.3,40.3,2.05,3749.22
(주)골프존,215000,2017/12,39.68,35.96,51.19,34.5,1.61,5937.62
