회사명,거래소코드,회계년도,[제조]비유동비율(IFRS),[제조]유동비율(IFRS),[제조]당좌비율(IFRS),[제조]현금비율(IFRS),[제조]부채비율(IFRS),[제조]유동부채비율(IFRS),[제조]차입금비율(IFRS),[제조]이자보상배율(이자비용)(IFRS),[제조]유보액대비율(IFRS),[제조]유보액 대 납입자본배율(IFRS),[제조]투자집중도(IFRS)
(주)TCC스틸,002710,2019/12,152.19,79.7,35.63,4.64,177.19,156.83,133.65,2.34,29.32,3.55,49.1
(주)TCC스틸,002710,2020/12,153.56,92.8,50.65,2.94,165.86,121.02,134.5,0.41,29.28,3.33,48.24
(주)TCC스틸,002710,2021/12,112.83,141.17,82.69,24.88,142.17,91.62,90.32,4.73,34.09,4.48,52.2
(주)가비아,079940,2011/12,115.44,77.35,77.23,23.26,53.49,49.19,15.56,10.88,51.38,3.01,53.61
(주)가비아,079940,2012/12,135.35,89.64,88.78,26.07,66.2,34.41,36.75,6.25,49.68,3.86,91.02
(주)가비아,079940,2013/12,120.01,89.4,88.7,45.75,49.76,33.28,27.76,7.48,56.35,4.41,87.53
(주)가비아,079940,2014/12,107.66,113.33,113.33,40.72,46.76,34.5,22.28,11.16,58.25,4.82,90.17
(주)가비아,079940,2015/12,94.7,180,180,106.22,35.76,22.81,12.95,28.34,64.06,5.46,90.17
(주)가비아,079940,2016/12,107.73,119.42,119.42,82.77,34.68,22.56,12.11,33.33,65.2,5.89,78.3
(주)가비아,079940,2017/12,104.63,87.26,87.26,57.66,36.35,36.35,11.54,27.12,64.83,6.22,78.79
(주)가비아,079940,2018/12,102.2,101.65,101.65,64.26,39.1,36.3,13.04,25.87,63.91,6.55,81.32
(주)가비아,079940,2019/12,128.25,67.14,67.14,46.45,53.4,37.46,26.49,19.48,58.52,7.17,79.52
(주)가비아,079940,2020/12,133.16,80.56,80.56,45.21,68.07,43.33,38.48,36.98,53.86,7.81,109.6
(주)가비아,079940,2021/12,132.65,94.19,94.19,21.41,68.64,38.21,43.49,105.99,53.87,8.56,114.33
(주)강스템바이오텍,217730,2015/12,28.66,637.19,625.9,211.66,17.64,13.96,5.03,-5.41,57.35,2.07,1569.08
(주)강스템바이오텍,217730,2016/12,41.24,1175.05,1157.01,59.67,106.48,14.06,67.66,-18.89,33.45,2.23,5423.85
(주)강스템바이오텍,217730,2017/12,81.86,607.77,564.65,82.11,80.43,16.22,51.08,-7.93,37.17,2.04,574.37
(주)강스템바이오텍,217730,2018/12,46.12,319.31,315.67,16.89,38.04,28.79,32.29,-11.95,56.71,3.6,5171.93
(주)강스템바이오텍,217730,2019/12,68.44,327.75,327.53,32.42,39.21,21.59,27.31,-23.34,59.62,4.88,20962.57
(주)강스템바이오텍,217730,2020/12,55.03,856.3,855.7,151.52,32.41,9.04,13.23,-45.05,56.89,3.05,22646.28
(주)강스템바이오텍,217730,2021/12,39.42,915.33,904.15,98.67,28.57,9.74,11.39,-58.88,56.7,2.69,2340.62
(주)강원랜드,035250,2011/12,70.83,254.04,253.53,10.9,19.84,19.29,0,1171.84,85.63,21.86,184.06
(주)강원랜드,035250,2012/12,75.45,216.22,215.99,15.44,22.33,21.68,0,643.6,84.05,22.91,189.47
(주)강원랜드,035250,2013/12,82.11,181.76,181.5,22.75,23.04,22.52,0,1460.36,83.44,24.22,173.37
(주)강원랜드,035250,2014/12,74.77,217.74,217.55,15.07,24.46,22.82,0,2126.84,82.33,26.02,174.76
(주)강원랜드,035250,2015/12,65.12,261.93,261.69,15.6,23.04,22.11,0,2661.2,83.09,28.65,182.13
(주)강원랜드,035250,2016/12,66.93,250.76,250.58,12.73,22.23,22.06,0,2743.01,83.5,31.04,177.8
(주)강원랜드,035250,2017/12,57.89,316.75,316.56,15.17,19.47,19.44,0,2717.07,85.3,33.35,209.18
(주)강원랜드,035250,2018/12,69.15,275.44,275.26,7.46,17.93,17.71,0,2008.39,86.38,34.15,211.22
(주)강원랜드,035250,2019/12,69.06,287.22,286.66,9.09,19.31,17.49,1.79,276.34,85.33,35.39,210.53
(주)강원랜드,035250,2020/12,66.26,452.28,451.62,19.63,12.06,10.13,1.95,-240.84,91.09,30.96,586.62
(주)강원랜드,035250,2021/12,66.93,325.09,324.42,40.22,17.49,15.55,1.94,-34.21,86.87,31,369.94
(주)강원에너지,114190,2011/11,23.54,165.07,151.33,52.8,119.24,118.56,0,393.9,42.37,8.59,104.4
(주)강원에너지,114190,2011/12,22.82,157.65,144.65,49.4,135.7,135.03,0,4924.41,39.52,8.94,1010.07
(주)강원에너지,114190,2012/12,24.28,151.93,144.74,10.65,147.2,146.73,33.52,58.37,34.52,5.81,81.66
(주)강원에너지,114190,2013/12,23.73,231.75,223.89,111.08,57.9,57.9,6.87,18.11,54.59,6.24,134.07
(주)강원에너지,114190,2014/12,36.15,294.21,283.74,72.26,32.89,32.88,0,39.01,64.52,6.01,120.45
(주)강원에너지,114190,2015/12,40.44,225.55,220.81,110.71,47.48,47.46,0,762.19,58.38,6.2,146.78
(주)강원에너지,114190,2016/12,39.01,291.71,289.75,76.47,31.82,31.82,0,-166.16,65.09,6.05,140.7
(주)강원에너지,114190,2017/12,45.04,181.45,180.46,37.01,86.31,77.85,5.97,-89.84,44.99,5.18,94.38
(주)강원에너지,114190,2018/12,39.61,173.94,172.59,47.85,81.83,81.77,34.99,0.35,46.42,5.41,94.94
(주)강원에너지,114190,2019/12,108.1,110.09,109.66,12.48,140.6,120.35,49.9,-9.33,25.74,1.63,97.86
(주)강원에너지,114190,2020/12,64.56,177.21,175.43,72.03,91.72,71.76,32.6,-26.41,24.65,0.9,78.67
(주)강원에너지,114190,2021/12,35.63,269.9,263.99,58.98,45.27,40.62,14.28,8.35,37.39,1.19,88.22
(주)갤럭시아에스엠,011420,2011/12,95.31,144.34,144.34,31.07,65.9,48.91,7.74,6.14,36.18,1.5,91.38
(주)갤럭시아에스엠,011420,2012/12,73.57,174.23,174.23,41.68,59.7,49.44,5.57,3.15,38.19,1.56,74.47
(주)갤럭시아에스엠,011420,2013/12,82.23,165.21,165.21,18.33,52,42.23,8.58,2.26,37.07,1.29,70.89
(주)갤럭시아에스엠,011420,2014/12,79.56,149,146.25,9.82,73.18,62.84,11.24,-1.41,33.54,1.39,83.43
(주)갤럭시아에스엠,011420,2015/12,52.73,270.56,270.56,137.32,32.63,29.53,0,9.86,54.9,2.68,90.38
(주)갤럭시아에스엠,011420,2016/12,49.76,340.35,340.35,181.08,24.48,21.95,0,-18.56,55.66,2.26,89.44
(주)갤럭시아에스엠,011420,2017/12,57.87,324.23,324.23,119.84,20.9,19.44,0,-33.36,54.58,1.94,86.67
(주)갤럭시아에스엠,011420,2018/12,70.98,222.68,222.68,120.97,24.41,23.99,0,-102.12,39.06,0.95,80.64
(주)갤럭시아에스엠,011420,2019/12,66.96,216.18,216.18,120.35,29.56,28.95,0.92,-15.22,28.41,0.58,60.81
(주)갤럭시아에스엠,011420,2020/12,68.85,221.64,221.64,81.96,37.82,31.12,13.03,18.6,24.32,0.5,103.45
(주)갤럭시아에스엠,011420,2021/12,74.47,222.91,162.1,54.87,23.75,22.11,6.81,44.69,47.13,1.4,79.1
(주)경농,002100,2011/12,62.21,346.61,64.12,29.81,21.04,16.97,0.05,4.84,80.3,13.09,113.89
(주)경농,002100,2012/12,75.57,196.65,42.58,16.11,34.3,29.86,10.38,8.89,72.46,13.59,110.45
(주)경농,002100,2013/12,76.52,223.01,49.84,23.2,32.14,24.94,9.59,9.47,73.79,14.63,104.88
(주)경농,002100,2014/12,82.08,197.73,47.62,19.12,36.61,27.58,13.36,9.33,71.38,15.2,114.32
(주)경농,002100,2015/12,89.15,147.27,35.24,8.91,53.19,43.48,29.57,6.21,63.31,15.48,127.25
(주)경농,002100,2016/12,86.74,149.74,31.68,8.11,50.87,42.83,26.16,5.39,64.33,15.81,124.57
(주)경농,002100,2017/12,84.34,146.19,29.15,8.28,47.01,42.87,22.22,5.54,66.09,16.39,123.93
(주)경농,002100,2018/12,85.92,143.04,37.71,8.62,52.37,46.45,24.88,9.8,63.8,16.77,138.18
(주)경농,002100,2019/12,83.03,171.9,46.05,10.96,55.69,42.27,27.85,5.02,62.48,17.12,140.44
(주)경농,002100,2020/12,76.43,158.64,44.52,10.9,51.62,47.4,23.79,7.98,64.21,17.71,132.71
(주)경농,002100,2021/12,77.5,176.74,59.4,25.07,46.13,38.83,24.49,11.54,65.75,18.97,136.54
(주)경동나비엔,009450,2011/12,79.85,147.19,91.46,28.48,56.61,52.15,0.18,32.11,58.84,10.36,59.46
(주)경동나비엔,009450,2012/12,86.34,140.29,101.7,33.9,67.3,57.71,4.98,28.05,55.03,11,60.77
(주)경동나비엔,009450,2013/12,121.71,79.08,50.87,4.69,86.68,82.16,17.13,32.7,49.56,11.73,54.19
(주)경동나비엔,009450,2014/12,117.24,85.61,59.47,3.33,97.1,93.27,42.34,9.27,47.09,12.24,72.31
(주)경동나비엔,009450,2015/12,105.29,95.04,66.32,2.88,75.4,73.76,17.67,9.88,53.29,13.59,61.83
(주)경동나비엔,009450,2016/12,95.97,108.01,77.56,8.67,65.39,64.27,0,54.24,56.98,15.55,58.63
(주)경동나비엔,009450,2017/12,97.09,110.15,74.43,8.26,76.28,71.9,6.87,54.55,53.64,16.48,58.41
(주)경동나비엔,009450,2018/12,96.13,109.52,70.34,3.81,83.28,79.57,22.01,18.09,51.82,17.92,61.47
(주)경동나비엔,009450,2019/12,97.23,116.51,80.43,2.19,81.34,72.18,16.17,21.23,52.53,19.03,60
(주)경동나비엔,009450,2020/12,94.38,125.21,80.56,6.84,90.27,76.58,19.47,28.12,50.14,19.74,61.13
(주)경동나비엔,009450,2021/12,88.25,131.33,82.61,7.64,84.94,73.62,6.23,44.64,51.99,23.82,59.24
(주)경동도시가스,267290,2017/12,,,,,,,,,,,
(주)경동도시가스,267290,2018/12,104.83,117.65,117.31,30.93,143.41,117.78,4.32,99.67,39.58,26.04,47.91
(주)경동도시가스,267290,2019/12,105.12,122.35,121.93,30.37,121.34,94.99,7.8,28.89,43.23,21.92,51.8
(주)경동도시가스,267290,2020/12,104.63,125.27,124.79,24.21,96.46,73.31,6.4,18.07,48.81,23.09,62.56
(주)경동도시가스,267290,2021/12,100.17,116.9,116.59,35.03,141.35,120.78,5.85,31.72,39.82,24.36,60.56
(주)경동인베스트,012320,2011/12,91.45,125.08,124.89,24.82,127.94,109.12,3.66,65.05,42.02,22.7,46.24
