회사명,거래소코드,회계년도,[제조]   연구비,[제조]   경상개발비,[제조]매출액(영업수익)(*)
(주)국전약품,307750,2020/12,0,830105,80623076
(주)국전약품,307750,2021/12,0,2651479,85354221
(주)그래디언트,035080,2011/12,0,0,9501248
(주)그래디언트,035080,2012/12,0,0,11150621
(주)그래디언트,035080,2013/12,0,0,7939840
(주)그래디언트,035080,2014/12,0,0,7753595
(주)그래디언트,035080,2015/12,0,0,12870821
(주)그래디언트,035080,2016/12,0,0,16516754
(주)그래디언트,035080,2017/12,0,0,12485184
(주)그래디언트,035080,2018/12,0,0,12237889
(주)그래디언트,035080,2019/12,0,2687739,8719700
(주)그래디언트,035080,2020/12,0,2906692,169181557
(주)그래디언트,035080,2021/12,0,1630994,15157574
(주)그리티,204020,2018/12,0,2227685,117056356
(주)그리티,204020,2019/12,0,2163227,120984485
(주)그리티,204020,2020/12,0,2206181,119857961
(주)그리티,204020,2021/12,0,2515991,104116383
(주)그린플러스,186230,2019/12,0,354776,39502728
(주)그린플러스,186230,2020/12,0,430707,55545281
(주)그린플러스,186230,2021/12,0,480423,76237910
(주)극동자동화,272420,2017/12,0,163065,16625216
(주)글로벌스탠다드테크놀로지,083450,2011/12,0,64491,40662578
(주)글로벌스탠다드테크놀로지,083450,2012/12,0,125475,62774905
(주)글로벌스탠다드테크놀로지,083450,2013/12,0,376200,78917554
(주)글로벌스탠다드테크놀로지,083450,2014/12,0,252397,85992839
(주)글로벌스탠다드테크놀로지,083450,2015/12,0,4200500,80102292
(주)글로벌스탠다드테크놀로지,083450,2016/12,0,3990134,81859588
(주)글로벌스탠다드테크놀로지,083450,2017/12,0,4940700,154761834
(주)글로벌스탠다드테크놀로지,083450,2018/12,0,9091400,115619452
(주)글로벌스탠다드테크놀로지,083450,2019/12,0,10334077,150777009
(주)글로벌스탠다드테크놀로지,083450,2020/12,0,10178078,154150365
(주)글로벌스탠다드테크놀로지,083450,2021/12,0,14866875,289753441
(주)금비,008870,2011/09,0,109442,90614774
(주)금비,008870,2012/09,0,84364,83296660
(주)금비,008870,2013/09,0,75285,82028937
(주)금비,008870,2014/09,0,55206,80715556
(주)금비,008870,2015/09,0,46543,93629076
(주)금비,008870,2016/09,0,110358,100327539
(주)금비,008870,2017/09,0,42582,80379261
(주)금비,008870,2018/09,0,55371,90793198
