회사명,거래소코드,회계년도,[제조]자산(*)(IFRS),[제조]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),배당금_현금,[제조]      장기차입금(*)(IFRS),[제조]매출액증가율(IFRS)
(주)STX,011810,2014/12,1070433000,-78562000,,214533000,-31.86
(주)STX,011810,2015/12,1057543000,28936000,,165217000,5.48
(주)STX,011810,2016/12,627686000,31638000,,30940000,7.59
(주)STX,011810,2017/12,520393000,93844000,,19343000,8.87
(주)STX,011810,2018/12,446758000,-51274000,,22595000,-16.65
(주)STX,011810,2019/12,462734000,12558000,,34213000,-6.92
(주)STX,011810,2020/12,362854000,66336000,,20442000,-36.31
(주)STX,011810,2021/12,389174000,-6179000,,21060000,-17.84
(주)TCC스틸,002710,2011/12,407743559,-8210627,2195000,25483900,10.88
(주)TCC스틸,002710,2012/12,438642951,10878979,1879000,57343600,-3.58
(주)TCC스틸,002710,2013/12,444204925,21218485,832759,81381440,-4.79
(주)TCC스틸,002710,2014/12,461297588,13870764,882759,28114780,-4.33
(주)TCC스틸,002710,2015/12,330651742,36353152,,112083700,-12.77
(주)TCC스틸,002710,2016/12,250878191,-34206656,,59537000,-9.38
(주)TCC스틸,002710,2017/12,248896237,-7248002,,0,5.21
(주)TCC스틸,002710,2018/12,268135677,13968719,1706906,74888608,5.26
(주)TCC스틸,002710,2019/12,270265082,-251282,640090,4363000,-3.41
(주)TCC스틸,002710,2020/12,261204640,-998793,340407,3739560,-4.69
(주)TCC스틸,002710,2021/12,308992347,6479414,3479073,2493040,26.1
(주)가비아,079940,2011/12,37295822,6750777,367000,953300,29.64
(주)가비아,079940,2012/12,51795749,9005290,257000,9666660,13.88
(주)가비아,079940,2013/12,52151784,6245989,256706,5500000,5.26
(주)가비아,079940,2014/12,55984243,8696486,260706,4675000,8.39
(주)가비아,079940,2015/12,57657418,10152135,391060,5500000,10.34
(주)가비아,079940,2016/12,61160981,9339489,391060,5500000,2.03
(주)가비아,079940,2017/12,64986436,8670614,391060,0,5.94
(주)가비아,079940,2018/12,69315988,9241321,391060,1000000,5.41
(주)가비아,079940,2019/12,82964911,13243609,521413,4910996,5.54
(주)가비아,079940,2020/12,98083331,16302314,782119,12932988,10.03
(주)가비아,079940,2021/12,107496533,13962996,921131,12575228,12.13
(주)강스템바이오텍,217730,2015/12,24982626,-3800024,,780000,0
(주)강스템바이오텍,217730,2016/12,47441769,-7796613,,520000,-43.23
(주)강스템바이오텍,217730,2017/12,44508729,-10267751,,4260000,540.04
(주)강스템바이오텍,217730,2018/12,66184838,-11298071,,4000000,-81.44
(주)강스템바이오텍,217730,2019/12,98625925,-11097344,,4000000,-71.82
(주)강스템바이오텍,217730,2020/12,68097299,-16124997,,4000000,4.72
(주)강스템바이오텍,217730,2021/12,90179843,-16455808,,5630000,1171.84
(주)강원랜드,035250,2011/12,2730283806,428912416,184734000,0,-3.79
(주)강원랜드,035250,2012/12,2915385756,458412852,153068000,0,2.31
(주)강원랜드,035250,2013/12,3105430200,432139763,147999469,0,4.95
(주)강원랜드,035250,2014/12,3380461682,516728788,172328148,0,9.98
(주)강원랜드,035250,2015/12,3688060027,581804341,198684218,0,9.29
(주)강원랜드,035250,2016/12,3975979890,600686651,200711608,0,3.9
(주)강원랜드,035250,2017/12,4182527382,465968987,200711608,0,-5.41
(주)강원랜드,035250,2018/12,4229630541,366067885,182465098,0,-10.41
(주)강원랜드,035250,2019/12,4436461953,408994810,182465098,0,5.68
(주)강원랜드,035250,2020/12,3635973900,-657703238,,0,-68.54
(주)강원랜드,035250,2021/12,3817618525,215114775,,0,64.9
(주)강원에너지,114190,2011/11,53719067,15102830,761000,0,64.02
(주)강원에너지,114190,2011/12,59922124,789090,,0,0
(주)강원에너지,114190,2012/12,89258208,-3145103,103341,0,0
(주)강원에너지,114190,2012/12,89258208,-3145103,530000,0,0
(주)강원에너지,114190,2013/12,72441333,16975955,380000,0,-52.42
(주)강원에너지,114190,2014/12,67037639,-14600421,,0,1.62
(주)강원에너지,114190,2015/12,80939019,18555072,,0,-5.11
(주)강원에너지,114190,2016/12,70850137,-18630100,,0,-9.02
(주)강원에너지,114190,2017/12,87781416,-4605588,,0,86.99
(주)강원에너지,114190,2018/12,89619750,-10047711,,0,3.36
(주)강원에너지,114190,2019/12,55106032,7013798,,3320000,-50.47
(주)강원에너지,114190,2020/12,32998279,-4228563,,2656000,-9.88
(주)강원에너지,114190,2021/12,41538176,-4492533,,0,15.17
(주)갤럭시아에스엠,011420,2011/12,40711969,3957763,,0,-25.23
(주)갤럭시아에스엠,011420,2012/12,40169876,2596523,,0,17.12
(주)갤럭시아에스엠,011420,2013/12,34158874,-780292,,0,-17.37
(주)갤럭시아에스엠,011420,2014/12,40528250,-1937620,,0,6.87
(주)갤럭시아에스엠,011420,2015/12,67196553,3007845,,0,62.85
(주)갤럭시아에스엠,011420,2016/12,55825556,-1876676,,0,-15.1
(주)갤럭시아에스엠,011420,2017/12,48958128,-7384193,,0,-19.16
(주)갤럭시아에스엠,011420,2018/12,33337692,-2638766,,0,-40.33
(주)갤럭시아에스엠,011420,2019/12,28241598,825072,,0,30.42
(주)갤럭시아에스엠,011420,2020/12,28554685,2869297,,0,-32
(주)갤럭시아에스엠,011420,2021/12,40900713,1611959,,0,47.9
(주)경농,002100,2011/12,176741869,14271710,3197000,57682,-15.6
(주)경농,002100,2012/12,203467698,12031973,2593000,48203,8.53
