회사명,거래소코드,회계년도,[제조]자산(*)(IFRS연결),[제조]부채(*)(IFRS연결),산술평균,발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수),주식의 종류
(주)SNT에너지,100840,2019/12,333897235,88942325,18805,7506711,10
(주)SNT에너지,100840,2020/12,335351657,99578947,15474,7506711,90
(주)SNT에너지,100840,2020/12,335351657,99578947,15474,7506711,10
(주)SNT에너지,100840,2021/12,332143488,87294232,18861,7506711,10
(주)SNT에너지,100840,2021/12,332143488,87294232,18861,7506711,90
(주)SNT홀딩스,036530,2011/12,2124828265,813820784,12745,14923423,10
(주)SNT홀딩스,036530,2011/12,2124828265,813820784,12745,14923423,90
(주)SNT홀딩스,036530,2012/12,2074903906,756881039,9701,14923423,10
(주)SNT홀딩스,036530,2012/12,2074903906,756881039,9701,14923423,90
(주)SNT홀딩스,036530,2013/12,2149176237,774810996,17400,14923423,10
(주)SNT홀딩스,036530,2013/12,2149176237,774810996,17400,14923423,90
(주)SNT홀딩스,036530,2014/12,2039388864,683347926,20281,14923423,10
(주)SNT홀딩스,036530,2014/12,2039388864,683347926,20281,14923423,90
(주)SNT홀딩스,036530,2015/12,2169311305,640062214,27443,15370076,10
(주)SNT홀딩스,036530,2015/12,2169311305,640062214,27443,15370076,90
(주)SNT홀딩스,036530,2016/12,2210178425,679285814,15664,15830105,90
(주)SNT홀딩스,036530,2016/12,2210178425,679285814,15664,15830105,10
(주)SNT홀딩스,036530,2017/12,2146174938,626881784,15900,15830105,90
(주)SNT홀딩스,036530,2017/12,2146174938,626881784,15900,15830105,10
(주)SNT홀딩스,036530,2018/12,2113834573,610559077,11674,16303886,90
(주)SNT홀딩스,036530,2018/12,2113834573,610559077,11674,16303886,10
(주)SNT홀딩스,036530,2019/12,2236679025,610745978,14998,16303886,90
(주)SNT홀딩스,036530,2019/12,2236679025,610745978,14998,16303886,10
(주)SNT홀딩스,036530,2020/12,2270485740,652956674,14836,16303886,10
(주)SNT홀딩스,036530,2020/12,2270485740,652956674,14836,16303886,90
(주)SNT홀딩스,036530,2021/12,2372324440,592194060,17545,16303886,90
(주)SNT홀딩스,036530,2021/12,2372324440,592194060,17545,16303886,10
(주)STX,011810,2011/12,5234175000,3318233000,12495,1642,20
(주)STX,011810,2011/12,5234175000,3318233000,12495,59943040,90
(주)STX,011810,2011/12,5234175000,3318233000,12495,59941398,10
(주)STX,011810,2012/12,5067029000,3560390000,8161,60394160,90
(주)STX,011810,2012/12,5067029000,3560390000,8161,1642,20
(주)STX,011810,2012/12,5067029000,3560390000,8161,60392518,10
(주)STX,011810,2014/12,1255002000,1161340000,426,9,20
(주)STX,011810,2014/12,1255002000,1161340000,426,29845269,90
(주)STX,011810,2014/12,1255002000,1161340000,426,29845260,10
(주)STX,011810,2015/12,1267224000,1194882000,3508,29879710,10
(주)STX,011810,2015/12,1267224000,1194882000,3508,9,20
(주)STX,011810,2015/12,1267224000,1194882000,3508,29879719,90
(주)STX,011810,2016/12,707709000,1038305000,2267,47331679,90
(주)STX,011810,2016/12,707709000,1038305000,2267,47331670,10
(주)STX,011810,2016/12,707709000,1038305000,2267,9,20
(주)STX,011810,2017/12,627542000,584982000,12553,1271000,20
(주)STX,011810,2017/12,627542000,584982000,12553,17862430,10
(주)STX,011810,2017/12,627542000,584982000,12553,19133430,90
(주)STX,011810,2018/12,554061000,490033000,12547,19726902,90
(주)STX,011810,2018/12,554061000,490033000,12547,19726902,10
(주)STX,011810,2018/12,554061000,490033000,12547,0,20
(주)STX,011810,2019/12,560107000,503816000,7944,19726902,90
(주)STX,011810,2019/12,560107000,503816000,7944,0,20
(주)STX,011810,2019/12,560107000,503816000,7944,19726902,10
(주)STX,011810,2020/12,617563000,535834000,6169,0,20
