,target,거래소코드,상장일,수명주기,통계청 한국표준산업분류 10차(대분류),회계년도,회사명,대주주지분변화분,외국인지분분변화,자산,당기순이익(손실),비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,자기자본순이익률,광고선전비대매출액비율,비유동비율,당좌비율,현금비율,부채비율,이자보상배율(이자비용),유보액대납입자본배율,투자집중도,1인년간평균급여(직원),토빈Q,WW지수,RDS,산업평균_총자산증가율차분,보통주식비율,외국인_주식분포비율,업력
4993,0,96770,2007/07/25,성장기,제조업,2013,SK이노베이션(주),-23.520000000000003,-3.5,4721553263.0,120615162.0,14.71,-4.96,3.05,-9.08,-18.62,-38.43,-25.69,1.17,4.68,0.27,108.14,85.02,24.42,108.62,4.98,35.39,47.71,67140.0,0.887301299232382,-1.3356861751401743,0.1013055290407674,4.269830716270698,33.4,33.11,6.0
4994,0,96770,2007/07/25,성장기,제조업,2014,SK이노베이션(주),-39.71,-0.8200000000000003,4721553263.0,120615162.0,10.5,-12.41,-5.3,-1.21,49.37068527315937,860.9023444180505,-170.57,-0.82,-3.82,0.21,125.85,84.8,25.77,118.55,-0.95,33.57,47.71,65932.0,0.7674651452901312,-1.4894581146177486,0.0870460992371086,0.4653842964665405,33.4,32.29,7.0
4995,0,96770,2007/07/25,성숙기,제조업,2015,SK이노베이션(주),5.84,5.670000000000002,4721553263.0,-5617027.0,-8.39,-13.74,5.93,-22.43,49.37068527315937,860.9023444180505,45.22930641330159,1.79,5.28,0.2,108.63,123.86,40.29,83.97,7.4,35.67,58.22,76000.0,0.8389647534737967,-2.108873612538197,0.0992232667125098,-10.37461570353346,33.42,33.98,8.0
4996,0,96770,2007/07/25,성숙기,제조업,2016,SK이노베이션(주),-3.67,1.4500000000000028,4721553263.0,-8184273.0,-4.99,16.71,7.64,-18.27,63.08,105.09,84.89,4.36,10.13,0.27,96.11,120.67,30.27,77.99,12.76,38.36,74.52,81000.0,0.8663729084797775,-2.084765272982142,0.121127107683399,3.793259767156068,33.42,33.98,9.0
4997,1,96770,2007/07/25,성숙기,제조업,2017,SK이노베이션(주),28.42,1.6700000000000017,4721553263.0,120615162.0,2.45,8.22,5.75,17.06,0.19,25.87,11.19,4.64,11.96,0.22,93.35,102.87,20.13,77.34,15.67,40.5,66.22,81000.0,0.98639547149065,0.4242191814902414,0.0937882212449938,4.93890936238123,33.42,33.98,10.0
4998,0,96770,2007/07/25,성장기,제조업,2018,SK이노베이션(주),-32.07,-3.3800000000000026,4721553263.0,120615162.0,7.26,3.29,0.21,17.83,-34.53,-21.5,-4.79,3.14,9.12,0.14,100.03,118.25,20.76,86.7,8.16,42.68,58.22,81000.0,0.9391018015104086,-0.1424579677545929,0.0634763785255141,5.352434708918474,33.42,33.98,11.0
4999,0,96770,2007/07/25,성장기,제조업,2019,SK이노베이션(주),0.05,-3.950000000000003,4721553263.0,120615162.0,14.69,3.58,-3.62,-8.5,-40.06,-95.39,-97.14,0.13,-0.2,0.15,121.77,103.84,21.0,117.06,3.69,40.29,64.33,81000.0,0.8866953120942789,-1.656950669768663,0.0756827211779216,9.421705282809784,33.41,33.98,12.0
5000,1,64960,2002/03/11,쇠퇴기,제조업,2013,SNT모티브(주),-0.02,4.390000000000001,1206018423.0,34373356.0,28.53,40.78,16.4,6.1,51.06,55.87,106.83,3.11,6.92,0.18,85.86,107.41,27.26,82.68,24.82,8.11,124.48,53000.0,0.7692668736205533,-0.6558496195943738,0.0265775582578172,34.6998307162707,45.8,8.66,11.0
5001,1,64960,2002/03/11,성숙기,제조업,2014,SNT모티브(주),7.23,0.8599999999999994,1115027090.0,45571478.0,-7.02,-8.01,10.2,14.47,32.8,82.11,49.21,5.78,11.15,0.05,79.83,122.97,26.92,68.9,44.61,8.11,99.53,53000.0,0.9530049115398622,-0.852492070526359,0.023995248710698,-6.544615703533459,45.8,9.52,12.0
5002,1,64960,2002/03/11,성숙기,제조업,2015,SNT모티브(주),-6.2,5.670000000000002,1172763190.0,77854752.0,0.07,9.76,14.37,10.12,78.43,39.43,50.25,8.04,13.84,0.04,68.59,163.59,46.62,52.53,281.05,9.53,94.34,70000.0,1.362995713625698,-0.7771979125462587,0.024173458266936,4.96925275263489,36.89,21.68,13.0
5003,0,64960,2002/03/11,성숙기,제조업,2016,SNT모티브(주),-0.92,-4.870000000000001,1248155630.0,32570193.0,0.85,10.99,3.13,-4.69,-41.81,-60.78,-57.85,2.98,5.01,0.06,67.42,155.78,53.07,58.24,6567.17,9.79,106.16,61000.0,0.9224483830241588,-1.4638802102649298,0.02332905394768,6.323259767156068,37.21,13.87,14.0
5004,0,64960,2002/03/11,성숙기,제조업,2017,SNT모티브(주),-0.07,-0.3099999999999987,1226311096.0,47656061.0,-2.5,-1.2,5.86,-1.42,35.02,69.39,48.67,5.19,8.12,0.07,62.57,189.22,74.29,47.97,776.21,10.34,106.35,59000.0,0.8754904219051444,-0.0760174712605458,0.0232681605596738,-1.9110906376187704,37.26,13.56,15.0
5005,1,64960,2002/03/11,성숙기,제조업,2018,SNT모티브(주),12.52,4.089999999999998,1196519724.0,53098946.0,-0.4,-3.91,0.98,-6.95,-41.82,-1.03,3.4,5.41,7.77,0.08,62.62,194.29,71.45,45.07,407838.96,10.82,110.67,63000.0,0.6468828720252672,-0.8630736402709556,0.0209151203990143,-2.4575652910815258,37.26,17.65,16.0
5006,1,64960,2002/03/11,성장기,제조업,2019,SNT모티브(주),-12.43,5.670000000000002,1038905998.0,61690347.0,-13.42,-7.97,1.16,-7.76,58.51,-95.39,-94.34,0.38,0.33,0.11,56.12,205.61,122.55,41.16,1008.19,9.4,103.81,64000.0,0.8945169845482016,-1.4763249741271678,0.0161434330817968,-10.37461570353346,37.21,29.24,17.0
5007,0,3570,1976/07/08,성숙기,제조업,2013,SNT중공업(주),0.09,5.670000000000002,935742233.0,3800273.0,-13.42,-19.03,-4.46,-22.43,-61.28,-60.6,-59.66,3.87,2.24,0.19,76.4,160.29,78.38,39.1,42.38,7.16,151.01,49922.0,0.6909355811773006,-1.829759409919954,6.31481922810302e-05,-10.37461570353346,35.61,20.05,54.0
5008,0,3570,1976/07/08,성숙기,제조업,2014,SNT중공업(주),0.2199999999999999,-2.1900000000000013,914416684.0,775663.0,1.0,-6.27,-2.74,-4.38,49.37068527315937,-83.15,-95.6,0.46,0.39,0.12,79.34,159.3,80.22,39.76,-3.62,7.11,150.58,49918.0,0.5908044278575302,-1.5050111697848731,0.0,-1.284615703533459,35.61,17.86,55.0
5009,1,3570,1976/07/08,성숙기,제조업,2015,SNT중공업(주),-0.0799999999999999,-1.7300000000000004,921662680.0,32212254.0,-4.34,7.53,3.56,-9.67,49.37068527315937,860.9023444180505,277.71,6.47,4.9,0.09,73.28,198.92,115.35,36.02,126.48,7.39,171.75,55386.0,0.7480074515396458,-1.4586156172496882,0.0,0.579252752634891,35.61,16.13,56.0
5010,0,3570,1976/07/08,성숙기,제조업,2016,SNT중공업(주),0.12,0.1300000000000025,890522084.0,-8184273.0,-5.56,-0.83,-3.55,-7.22,-82.19,-95.39,-168.34,-5.22,-3.67,0.06,71.75,218.65,134.96,36.26,-3.62,7.1,179.7,48429.0,0.5993342963317235,-1.4723830471056585,0.0,-3.486740232843932,35.61,16.26,57.0
