,회사명,거래소코드,회계년도,토빈Q
183,(주)경동인베스트,012320,2016,223.03213079739305
184,(주)경동인베스트,012320,2017,169.45760854019113
185,(주)경동인베스트,012320,2018,153.52243728732947
186,(주)경동인베스트,012320,2019,141.01347917861332
187,(주)경동인베스트,012320,2020,120.67983610311764
188,(주)경동인베스트,012320,2021,143.12439996574582
189,(주)경방,000050,2011,147.75903621099675
190,(주)경방,000050,2012,157.83289397568805
191,(주)경방,000050,2013,213.9513292371109
192,(주)경방,000050,2014,392.3969908088165
193,(주)경방,000050,2015,374.6765704196739
194,(주)경방,000050,2016,348.540782996404
195,(주)경방,000050,2017,301.2560779756943
196,(주)경방,000050,2018,228.615528754471
197,(주)경방,000050,2019,194.5819887128603
198,(주)경방,000050,2020,259.9792177615814
199,(주)경방,000050,2021,293.41466331582717
200,(주)경인양행,012610,2011,433.6502670422823
201,(주)경인양행,012610,2012,356.0149959465676
202,(주)경인양행,012610,2013,534.4399780963748
203,(주)경인양행,012610,2014,541.0683722298292
204,(주)경인양행,012610,2015,431.32021069423615
205,(주)경인양행,012610,2016,545.2731167864607
206,(주)경인양행,012610,2017,615.015271000284
207,(주)경인양행,012610,2018,544.1019123695474
208,(주)경인양행,012610,2019,648.6470672343492
209,(주)경인양행,012610,2020,573.8055565516687
210,(주)경인양행,012610,2021,465.62403616412854
211,(주)고바이오랩,348150,2020,10637.146580176328
212,(주)고바이오랩,348150,2021,3178.049700046469
213,(주)고영테크놀러지,098460,2011,3066.2365750459558
214,(주)고영테크놀러지,098460,2012,2434.9607544665455
215,(주)고영테크놀러지,098460,2013,2015.6405969173607
216,(주)고영테크놀러지,098460,2014,3877.2288530594365
217,(주)고영테크놀러지,098460,2015,3054.634831030178
218,(주)고영테크놀러지,098460,2016,3140.768236206534
219,(주)고영테크놀러지,098460,2017,5602.4483437279805
220,(주)고영테크놀러지,098460,2018,4069.3059805904572
221,(주)고영테크놀러지,098460,2019,4614.522731655381
222,(주)고영테크놀러지,098460,2020,4410.708159694946
223,(주)고영테크놀러지,098460,2021,4086.5775778007887
224,(주)골드앤에스,035290,2011,497.43225061360863
225,(주)골드앤에스,035290,2012,637.6021668929136
226,(주)골드앤에스,035290,2013,268.12599887972016
227,(주)골드앤에스,035290,2014,788.1361685964599
228,(주)골드앤에스,035290,2015,4936.581087020903
229,(주)골드앤에스,035290,2016,3832.981485561743
230,(주)골드앤에스,035290,2017,6503.672148326645
231,(주)골드앤에스,035290,2018,1686.629117089544
232,(주)골드앤에스,035290,2020,20627.780872670828
233,(주)골드앤에스,035290,2021,1808.5105986032488
234,(주)골드퍼시픽,038530,2013,665.9410454692312
235,(주)골드퍼시픽,038530,2014,835.8429616586226
236,(주)골드퍼시픽,038530,2015,3367.054048691843
237,(주)골드퍼시픽,038530,2018,675.9478884080191
238,(주)골프존,215000,2015,3161.589678754021
239,(주)골프존,215000,2016,2200.460763492169
240,(주)골프존,215000,2017,1140.1678568886907
241,(주)골프존,215000,2018,853.3715166549812
242,(주)골프존,215000,2019,1395.9237686870326
243,(주)골프존,215000,2020,1192.068929397032
244,(주)골프존,215000,2021,2183.329808271512
245,(주)골프존뉴딘홀딩스,121440,2011,1637.8055285454734
246,(주)골프존뉴딘홀딩스,121440,2012,1418.57406980873
247,(주)골프존뉴딘홀딩스,121440,2013,1171.2500938664002
248,(주)골프존뉴딘홀딩스,121440,2014,1243.352581993237
249,(주)골프존뉴딘홀딩스,121440,2015,378.9502947638855
250,(주)골프존뉴딘홀딩스,121440,2016,448.2841017016733
251,(주)골프존뉴딘홀딩스,121440,2017,301.52589173949605
252,(주)골프존뉴딘홀딩스,121440,2018,216.83944537663203
253,(주)골프존뉴딘홀딩스,121440,2019,200.15653110114096
254,(주)골프존뉴딘홀딩스,121440,2020,306.060866110424
255,(주)골프존뉴딘홀딩스,121440,2021,412.21307139264775
256,(주)광림,014200,2014,122.26863121230703
257,(주)광림,014200,2016,1464.77515367738
258,(주)광림,014200,2017,914.0031015681216
259,(주)광림,014200,2018,677.1924023756677
260,(주)광림,014200,2019,468.09163554083915
261,(주)광림,014200,2020,446.69975041130306
262,(주)광림,014200,2021,588.0002977000764
263,(주)광명전기,017040,2011,847.0492700210114
264,(주)광명전기,017040,2012,806.6662028639445
265,(주)광명전기,017040,2013,728.3864251325051
266,(주)광명전기,017040,2014,699.6880866010536
267,(주)광명전기,017040,2015,786.2649254832373
268,(주)광명전기,017040,2016,877.0628312936682
269,(주)광명전기,017040,2017,720.8769978536791
270,(주)광명전기,017040,2018,766.2067317626376
271,(주)광명전기,017040,2019,612.3144632083277
272,(주)광명전기,017040,2020,526.2373307566841
273,(주)광명전기,017040,2021,636.3852745455837
274,(주)광무,029480,2011,1617.2745588939622
275,(주)광무,029480,2012,37.57027976789954
276,(주)광무,029480,2013,902.8042389043939
277,(주)광무,029480,2018,512.7651339622172
278,(주)광무,029480,2019,973.1301377924051
279,(주)광무,029480,2020,1231.7070667762569
280,(주)광무,029480,2021,1577.6792855980166
281,(주)구영테크,053270,2011,124.38825854429743
282,(주)구영테크,053270,2012,116.47395547752939
283,(주)구영테크,053270,2013,130.25915778688932
284,(주)구영테크,053270,2014,177.70571661341216
285,(주)구영테크,053270,2015,277.93652095893566
286,(주)구영테크,053270,2016,267.2688850315826
287,(주)구영테크,053270,2017,223.2951037246558
288,(주)구영테크,053270,2018,196.36279421681974
289,(주)구영테크,053270,2019,220.93454834045428
290,(주)구영테크,053270,2020,207.196304302288
291,(주)구영테크,053270,2021,367.8694636343049
292,(주)국동,005320,2011,72.2015985668325
293,(주)국동,005320,2012,82.49191956630021
294,(주)국동,005320,2013,121.57115401378978
295,(주)국동,005320,2014,514.3672432574652
296,(주)국동,005320,2015,514.9645834440788
297,(주)국동,005320,2016,379.7444000212041
298,(주)국동,005320,2017,393.2725033553739
299,(주)국동,005320,2018,262.17097416616156
300,(주)국동,005320,2019,255.57986109361028
301,(주)국동,005320,2020,806.256856684138
302,(주)국동,005320,2021,947.4643401661299
303,(주)국보,001140,2011,115.6119775503994
304,(주)국보,001140,2012,126.0467046999954
305,(주)국보,001140,2013,120.52711051757453
306,(주)국보,001140,2014,144.44113366903903
307,(주)국보,001140,2015,253.5444498348796
308,(주)국보,001140,2016,266.5048058276828
309,(주)국보,001140,2017,220.64705208135862
310,(주)국보,001140,2018,422.51857496474287
311,(주)국보,001140,2019,594.9468619127385
312,(주)국보,001140,2020,1025.4445250597832
313,(주)국보,001140,2021,1054.8748119825145
314,(주)국보디자인,066620,2011,458.1564214117298
315,(주)국보디자인,066620,2012,551.0245923051285
