,회사명,거래소코드,회계년도,WW지수
166,(주)경동나비엔,009450,2015,-0.4102920491614298
167,(주)경동나비엔,009450,2016,-0.7706816430774861
168,(주)경동나비엔,009450,2017,0.6238002002764323
169,(주)경동나비엔,009450,2018,-0.36322865476375965
170,(주)경동나비엔,009450,2019,-0.954590707042481
171,(주)경동나비엔,009450,2020,-0.5531889526427186
172,(주)경동나비엔,009450,2021,2.039700475617301
173,(주)경동도시가스,267290,2018,2.521531032177829
174,(주)경동도시가스,267290,2019,-1.6557343337832127
175,(주)경동도시가스,267290,2020,-2.4168623374848757
176,(주)경동도시가스,267290,2021,-0.004569379620644076
177,(주)경동인베스트,012320,2011,0.2718649193129985
178,(주)경동인베스트,012320,2012,1.0459232456636853
179,(주)경동인베스트,012320,2013,-0.729762578525428
180,(주)경동인베스트,012320,2014,-1.2861257006160012
181,(주)경동인베스트,012320,2015,-4.395936022394759
182,(주)경동인베스트,012320,2016,0.713269649328003
183,(주)경동인베스트,012320,2017,-2.29124236316535
184,(주)경동인베스트,012320,2018,0.43108615029885633
185,(주)경동인베스트,012320,2019,-2.1198849670701696
186,(주)경동인베스트,012320,2020,-0.3132248125863823
187,(주)경동인베스트,012320,2021,-0.2829060711657517
188,(주)경방,000050,2011,-0.8326480326111301
189,(주)경방,000050,2012,-0.7579797462558897
190,(주)경방,000050,2013,-1.0352470760931778
191,(주)경방,000050,2014,-0.9587010207618729
192,(주)경방,000050,2015,-2.4700225938789075
193,(주)경방,000050,2016,0.8162369890303569
194,(주)경방,000050,2017,-1.2000019773522907
195,(주)경방,000050,2018,-0.2781624347710341
196,(주)경방,000050,2019,-1.2069833590052872
197,(주)경방,000050,2020,-1.954151025242419
198,(주)경방,000050,2021,0.9166703211158395
199,(주)경인양행,012610,2011,-1.3764019454205645
200,(주)경인양행,012610,2012,-0.7771587721122776
201,(주)경인양행,012610,2013,-0.13175630298280183
202,(주)경인양행,012610,2014,-1.084177133275695
203,(주)경인양행,012610,2015,-1.2482824452017556
204,(주)경인양행,012610,2016,-1.0845553542466086
205,(주)경인양행,012610,2017,0.35211830021037305
206,(주)경인양행,012610,2018,-0.2026218112529644
207,(주)경인양행,012610,2019,-0.8683179541221127
208,(주)경인양행,012610,2020,-1.2736408716977234
209,(주)경인양행,012610,2021,1.9355382494415734
210,(주)고바이오랩,348150,2020,-0.6279125868488944
211,(주)고바이오랩,348150,2021,-1.2906560234528253
212,(주)고영테크놀러지,098460,2011,-0.24882751162894412
213,(주)고영테크놀러지,098460,2012,0.36441897892771824
214,(주)고영테크놀러지,098460,2013,-0.6431225557070721
215,(주)고영테크놀러지,098460,2014,-0.3132582880498863
216,(주)고영테크놀러지,098460,2015,-0.9721973261497827
217,(주)고영테크놀러지,098460,2016,-0.6030737232198891
218,(주)고영테크놀러지,098460,2017,0.692018692674037
