,회사명,거래소코드,회계년도,대주주지분변화분,외국인지분분변화
145,(주)강원랜드,035250,2017/12,2.740000000000002,-0.26000000000000156
146,(주)강원랜드,035250,2018/12,14.989999999999998,-1.1999999999999993
147,(주)강원랜드,035250,2019/12,-20.119999999999997,2.2300000000000004
148,(주)강원랜드,035250,2020/12,4.999999999999998,-7.510000000000002
149,(주)강원랜드,035250,2021/12,0.0,-3.460000000000001
150,(주)강원에너지,114190,2011/11,-3.549999999999997,-18.74
151,(주)강원에너지,114190,2012/12,0.0,0.29
152,(주)강원에너지,114190,2013/12,0.0,-0.12999999999999998
153,(주)강원에너지,114190,2014/12,0.0,0.24999999999999997
154,(주)강원에너지,114190,2015/12,0.0,-0.08999999999999997
155,(주)강원에너지,114190,2016/12,0.0,0.73
156,(주)강원에너지,114190,2017/12,-15.98,-0.39
157,(주)강원에너지,114190,2018/12,-0.15000000000000002,1.42
158,(주)강원에너지,114190,2019/12,0.0,-0.18000000000000016
159,(주)강원에너지,114190,2020/12,17.490000000000002,-1.43
160,(주)강원에너지,114190,2021/12,-17.490000000000002,-0.14999999999999997
161,(주)갤럭시아에스엠,011420,2011/12,15.799999999999999,-0.29000000000000004
162,(주)갤럭시아에스엠,011420,2012/12,-15.799999999999999,0.45999999999999996
163,(주)갤럭시아에스엠,011420,2013/12,15.799999999999999,-0.48
164,(주)갤럭시아에스엠,011420,2014/12,3.0500000000000007,0.88
165,(주)갤럭시아에스엠,011420,2015/12,-16.11,0.010000000000000009
166,(주)갤럭시아에스엠,011420,2016/12,13.059999999999999,-0.6900000000000001
167,(주)갤럭시아에스엠,011420,2017/12,-13.059999999999999,0.51
168,(주)갤럭시아에스엠,011420,2018/12,16.11,-0.41
169,(주)갤럭시아에스엠,011420,2019/12,-3.0199999999999996,2.82
170,(주)갤럭시아에스엠,011420,2020/12,-12.71,-1.43
171,(주)갤럭시아에스엠,011420,2021/12,16.14,-1.06
172,(주)경농,002100,2011/12,12.619999999999997,1.12
173,(주)경농,002100,2012/12,0.0,-0.3400000000000001
174,(주)경농,002100,2013/12,0.0,-0.29000000000000004
175,(주)경농,002100,2014/12,0.0,-0.3599999999999999
176,(주)경농,002100,2015/12,-32.19,-0.010000000000000009
177,(주)경농,002100,2016/12,0.18,-0.17000000000000004
178,(주)경농,002100,2017/12,36.36,0.12
179,(주)경농,002100,2018/12,-36.5,-0.3
180,(주)경농,002100,2019/12,7.01,0.8800000000000001
181,(주)경농,002100,2020/12,-6.46,-0.93
182,(주)경농,002100,2021/12,-0.57,0.67
183,(주)경동나비엔,009450,2011/12,5.0,1.95
184,(주)경동나비엔,009450,2012/12,32.36,2.3000000000000003
185,(주)경동나비엔,009450,2013/12,-32.25,-1.1900000000000004
186,(주)경동나비엔,009450,2014/12,32.25,-1.7399999999999998
187,(주)경동나비엔,009450,2015/12,-37.34,2.2399999999999998
188,(주)경동나비엔,009450,2016/12,0.13999999999999999,3.2800000000000002
189,(주)경동나비엔,009450,2017/12,36.36,-3.9
190,(주)경동나비엔,009450,2018/12,-36.519999999999996,3.6999999999999997
191,(주)경동나비엔,009450,2019/12,0.57,1.2400000000000002
192,(주)경동나비엔,009450,2020/12,-0.58,1.2200000000000006
193,(주)경동나비엔,009450,2021/12,0.16,3.17
194,(주)경동도시가스,267290,2017/12,34.949999999999996,12.5
195,(주)경동도시가스,267290,2018/12,-35.11,-4.57
196,(주)경동도시가스,267290,2019/12,0.54,-3.0500000000000007
197,(주)경동도시가스,267290,2020/12,-0.55,-2.719999999999999
198,(주)경동도시가스,267290,2021/12,0.01,1.879999999999999
199,(주)경동인베스트,012320,2011/12,-0.01,0.07000000000000028
200,(주)경동인베스트,012320,2012/12,34.33,5.789999999999999
201,(주)경동인베스트,012320,2013/12,-28.27,-0.870000000000001
202,(주)경동인베스트,012320,2014/12,-6.02,-0.3999999999999986
203,(주)경동인베스트,012320,2015/12,4.61,-0.8200000000000003
204,(주)경동인베스트,012320,2016/12,3.2199999999999998,-1.4699999999999989
205,(주)경동인베스트,012320,2017/12,-7.87,-6.040000000000001
206,(주)경동인베스트,012320,2018/12,0.08,-0.7699999999999996
207,(주)경동인베스트,012320,2019/12,32.04,-1.290000000000001
208,(주)경동인베스트,012320,2020/12,-32.04,-0.5099999999999998
209,(주)경동인베스트,012320,2021/12,32.74,2.130000000000001
210,(주)경방,000050,2011/12,-32.3,-12.08
211,(주)경방,000050,2012/12,-0.51,0.8399999999999999
212,(주)경방,000050,2013/12,0.0,-0.9299999999999999
213,(주)경방,000050,2014/12,0.0,0.3700000000000001
214,(주)경방,000050,2015/12,0.51,1.49
215,(주)경방,000050,2016/12,-0.49,0.46999999999999975
216,(주)경방,000050,2017/12,0.05,-1.1599999999999997
217,(주)경방,000050,2018/12,-0.07,0.020000000000000018
218,(주)경방,000050,2019/12,0.0,-0.31000000000000005
219,(주)경방,000050,2020/12,32.86,1.0899999999999999
220,(주)경방,000050,2021/12,-32.86,-0.9300000000000002
221,(주)경보제약,214390,2015/12,32.11,-0.9699999999999998
222,(주)경보제약,214390,2016/12,-25.849999999999998,0.75
223,(주)경보제약,214390,2017/12,-6.27,0.8799999999999999
224,(주)경보제약,214390,2018/12,0.08,0.43000000000000016
225,(주)경보제약,214390,2019/12,-0.08,-1.7100000000000002
226,(주)경보제약,214390,2020/12,30.98,-0.2999999999999998
227,(주)경보제약,214390,2021/12,-30.48,-0.08000000000000007
228,(주)경인양행,012610,2011/12,-0.42,20.75
229,(주)경인양행,012610,2012/12,4.84,0.08999999999999986
230,(주)경인양행,012610,2013/12,26.770000000000003,-3.370000000000001
231,(주)경인양행,012610,2014/12,-31.68,-5.539999999999999
232,(주)경인양행,012610,2015/12,0.0,-2.1500000000000004
233,(주)경인양행,012610,2016/12,0.0,-0.9900000000000002
234,(주)경인양행,012610,2017/12,0.07,-2.1100000000000003
235,(주)경인양행,012610,2018/12,-0.08,2.2600000000000007
236,(주)경인양행,012610,2019/12,0.01,-0.33999999999999986
237,(주)경인양행,012610,2020/12,0.0,-6.040000000000001
238,(주)경인양행,012610,2021/12,30.97,-0.23999999999999977
239,(주)고려시멘트,198440,2014/12,-26.02,-3.29
240,(주)고려시멘트,198440,2015/12,-4.95,0.020000000000000004
241,(주)고려시멘트,198440,2016/12,0.0,-0.04
242,(주)고려시멘트,198440,2017/12,31.669999999999998,0.019999999999999997
243,(주)고려시멘트,198440,2018/12,-27.89,0.71
244,(주)고려시멘트,198440,2019/12,-3.7800000000000002,-0.20000000000000007
245,(주)고려시멘트,198440,2020/12,0.49,-0.19999999999999996
246,(주)고려시멘트,198440,2021/12,-0.5,-0.010000000000000009
247,(주)고바이오랩,348150,2020/12,0.08,0.08000000000000002
248,(주)고바이오랩,348150,2021/12,0.0,1.7600000000000002
249,(주)고영테크놀러지,098460,2011/12,-0.08,21.19
250,(주)고영테크놀러지,098460,2012/12,0.01,-6.379999999999999
251,(주)고영테크놀러지,098460,2013/12,8.52,0.8199999999999967
252,(주)고영테크놀러지,098460,2014/12,-7.969999999999999,20.870000000000005
253,(주)고영테크놀러지,098460,2015/12,15.58,-0.8700000000000045
254,(주)고영테크놀러지,098460,2016/12,0.0,2.710000000000001
255,(주)고영테크놀러지,098460,2017/12,-11.13,11.64
256,(주)고영테크놀러지,098460,2018/12,5.130000000000001,2.289999999999999
257,(주)고영테크놀러지,098460,2019/12,-1.2400000000000002,6.859999999999999
258,(주)고영테크놀러지,098460,2020/12,-1.8100000000000005,4.409999999999997
259,(주)고영테크놀러지,098460,2021/12,-0.22999999999999954,-0.5699999999999932
260,(주)골드앤에스,035290,2011/12,3.9799999999999995,-64.63
261,(주)골드앤에스,035290,2012/12,-10.43,0.8799999999999999
262,(주)골드앤에스,035290,2013/12,4.6,-1.24
263,(주)골드앤에스,035290,2014/12,11.13,0.10000000000000003
264,(주)골드앤에스,035290,2015/12,0.0,0.6699999999999999
265,(주)골드앤에스,035290,2016/12,-5.300000000000001,-0.87
266,(주)골드앤에스,035290,2017/12,-0.6999999999999993,0.08
267,(주)골드앤에스,035290,2018/12,-1.6100000000000012,0.65
268,(주)골드앤에스,035290,2019/12,-1.669999999999999,0.30000000000000004
269,(주)골드앤에스,035290,2020/12,0.22999999999999954,-0.42000000000000015
270,(주)골드앤에스,035290,2021/12,1.8100000000000005,-0.6599999999999999
271,(주)골드퍼시픽,038530,2011/12,-3.8900000000000006,11.180000000000001
272,(주)골드퍼시픽,038530,2012/12,3.5199999999999996,0.7099999999999991
273,(주)골드퍼시픽,038530,2013/12,58.31999999999999,-2.1099999999999994
274,(주)골드퍼시픽,038530,2014/12,0.0,-1.7599999999999998
275,(주)골드퍼시픽,038530,2015/12,-66.53,-7.73
276,(주)골드퍼시픽,038530,2016/12,3.18,-0.17
277,(주)골드퍼시픽,038530,2017/12,51.1,-0.15
278,(주)골드퍼시픽,038530,2018/12,-53.940000000000005,6.04
279,(주)골드퍼시픽,038530,2019/12,49.78,-0.6500000000000004
280,(주)골드퍼시픽,038530,2020/12,4.160000000000004,-3.5599999999999996
281,(주)골드퍼시픽,038530,2021/12,-53.940000000000005,0.11999999999999988
282,(주)골프존,215000,2015/12,49.78,3.46
283,(주)골프존,215000,2016/12,-46.94,2.24
284,(주)골프존,215000,2017/12,-2.84,-1.2600000000000007
285,(주)골프존,215000,2018/12,53.940000000000005,-1.0699999999999994
286,(주)골프존,215000,2019/12,-51.1,2.8599999999999994
287,(주)골프존,215000,2020/12,46.94,0.120000000000001
288,(주)골프존,215000,2021/12,-47.12,13.45
289,(주)골프존뉴딘홀딩스,121440,2011/12,48.47,-19.63
290,(주)골프존뉴딘홀딩스,121440,2012/12,-3.9399999999999977,-0.2400000000000002
291,(주)골프존뉴딘홀딩스,121440,2013/12,-47.230000000000004,1.1800000000000002
292,(주)골프존뉴딘홀딩스,121440,2014/12,0.0,1.8199999999999998
293,(주)골프존뉴딘홀딩스,121440,2015/12,2.6999999999999997,-2.33
294,(주)골프존뉴딘홀딩스,121440,2016/12,48.47,1.54
295,(주)골프존뉴딘홀딩스,121440,2017/12,-3.9399999999999977,-0.4299999999999997
296,(주)골프존뉴딘홀딩스,121440,2018/12,-47.230000000000004,-0.2200000000000002
297,(주)골프존뉴딘홀딩스,121440,2019/12,2.6999999999999997,-0.6699999999999999
298,(주)골프존뉴딘홀딩스,121440,2020/12,48.47,-0.8200000000000001
299,(주)골프존뉴딘홀딩스,121440,2021/12,-3.9399999999999977,0.1100000000000001
300,(주)광림,014200,2011/12,-44.53,3.4999999999999996
301,(주)광림,014200,2012/12,-3.26,-2.9699999999999998
302,(주)광림,014200,2013/12,52.489999999999995,-2.48
303,(주)광림,014200,2014/12,-4.699999999999996,0.85
304,(주)광림,014200,2015/12,-46.57,0.3800000000000001
305,(주)광림,014200,2016/12,-1.24,-0.8500000000000001
306,(주)광림,014200,2017/12,3.28,0.24
307,(주)광림,014200,2018/12,-2.04,0.8500000000000001
308,(주)광림,014200,2019/12,49.0,-0.65
309,(주)광림,014200,2020/12,-50.21,0.009999999999999898
310,(주)광림,014200,2021/12,0.009999999999999995,2.5
311,(주)광명전기,017040,2011/12,0.35,-2.62
312,(주)광명전기,017040,2012/12,55.03,-0.6799999999999999
313,(주)광명전기,017040,2013/12,-55.35,1.1
314,(주)광명전기,017040,2014/12,0.32,1.51
315,(주)광명전기,017040,2015/12,0.8500000000000001,1.5
316,(주)광명전기,017040,2016/12,49.0,-0.31999999999999984
317,(주)광명전기,017040,2017/12,-50.21,-1.4000000000000004
318,(주)광명전기,017040,2018/12,52.1,1.8700000000000006
319,(주)광명전기,017040,2019/12,-8.660000000000004,0.33999999999999986
320,(주)광명전기,017040,2020/12,-43.26,-1.35
321,(주)광명전기,017040,2021/12,0.42000000000000004,-0.43999999999999995
322,(주)광무,029480,2011/12,43.76,-2.6300000000000003
323,(주)광무,029480,2012/12,-0.9200000000000017,1.5999999999999999
324,(주)광무,029480,2013/12,-43.4,-0.9899999999999999
325,(주)광무,029480,2014/12,43.52,-0.41000000000000003
326,(주)광무,029480,2015/12,-43.620000000000005,0.8400000000000001
327,(주)광무,029480,2016/12,1.5,0.33999999999999986
