,index,회사명,거래소코드,회계년도,수명주기,기업규모명,산업분류,자기자본순이익률,외국인지분율,정상영업이익증가율,당좌비율,유보율,당기순이익(손실),대주주지분율,산업평균_총자산증가율차분,배당금_현금,배당성향,종합등급,환경,사회,지배구조,한국ESG연구소,Moody's,MSCI,S&P
0,0,(주)DB하이텍,990,2021,성숙기,대기업,제조업,10.28,-3.509999999999998,34.74,67.74000000000001,139.72999999999996,151262336.0,0.0299999999999975,23.28841484510083,4355241.0,-3.0072779748824754,A,A,A,A,A,-,-,17
1,1,(주)가비아,79940,2021,성숙기,중소기업,정보통신업,-2.59,0.92,-4.320000000000002,11.650000000000006,187.28,-345096.0,1.2799999999999976,-13.54158515489917,139012.0,4.43532789671988,,,,,,,,
2,2,(주)경동나비엔,9450,2021,성숙기,중견기업,제조업,7.369999999999999,3.17,-53.87,-4.909999999999997,532.2399999999998,43390525.0,3.009999999999998,6.648414845100827,1782645.0,-14.55210805782221,B+,B+,B+,B+,-,-,-,4
3,3,(주)골프존,215000,2021,성숙기,중견기업,정보통신업,11.77,13.45,49.1,33.849999999999994,2016.94,37856354.0,-14.32,14.18841484510083,6272470.0,-13.571375113083104,,,,,,,,
4,4,(주)국보디자인,66620,2021,성숙기,중견기업,건설업,-3.960000000000001,0.0199999999999995,-122.73,5.280000000000001,1637.9499999999998,622570.0,0.0,7.288414845100831,137453.0,0.317994938220993,,,,,,,,
5,5,(주)나이스디앤비,130580,2021,성숙기,중견기업,"사업시설 관리, 사업 지원 및 임대 서비스업",1.3300000000000018,1.1700000000000017,10.14,8.660000000000025,130.19000000000003,1537976.0,0.0,7.618414845100828,462000.0,0.0729531485380192,,,,,,,,
6,6,(주)뉴트리,270870,2021,성장기,중소기업,제조업,-5.949999999999999,3.2,-108.28,51.64999999999998,471.6399999999999,1916110.0,-0.2000000000000028,13.24841484510084,35805.0,-1.3267213869790488,,,,,,,,
7,7,(주)다우기술,23590,2021,도입기,중견기업,정보통신업,2.259999999999998,-0.4300000000000032,-76.24000000000001,0.6400000000000148,1732.340000000001,22710588.0,0.0700000000000002,-36.14158515489917,4326662.0,-13.63287978654622,B+,B,A,B+,-,-,-,4
8,8,(주)다우데이타,32190,2021,도입기,중견기업,도매 및 소매업,3.4400000000000013,5.109999999999999,-64.15,0.3599999999999852,897.3699999999994,10752382.0,-0.2800000000000011,-34.121585154899165,1915000.0,-22.84098890053238,,,,,,,,
9,9,(주)더블유게임즈,192080,2021,성장기,중견기업,정보통신업,-0.4400000000000013,-5.25,-27.57,119.17000000000002,1787.37,-7580419.0,-0.25,39.87841484510084,5941434.0,5.010785539537102,B,D,B+,B+,B+,-,-,1
10,10,(주)동진쎄미켐,5290,2021,성장기,중견기업,제조업,-0.6599999999999966,0.0700000000000002,-15.999999999999998,8.829999999999998,465.55,14157044.0,-0.7700000000000031,9.19841484510083,514145.0,-0.7900704693565306,,,,,,,,
11,11,(주)보령,3850,2021,성장기,중견기업,제조업,1.9600000000000009,-0.6500000000000004,1.3000000000000005,30.05000000000001,-61.43999999999983,72077.0,-3.390000000000001,0.2484148451008287,2077474.0,7.616046491975052,B+,B,A,B+,B+,-,-,6
12,12,(주)뷰웍스,100120,2021,성숙기,중견기업,제조업,4.890000000000001,3.6999999999999993,9.77,-101.92999999999998,572.8200000000002,12139983.0,0.009999999999998,13.59841484510083,2634523.0,0.7590474474732822,,,,,,,,
13,13,(주)삼양홀딩스,70,2021,성장기,중견기업,"전문, 과학 및 기술 서비스업",7.569999999999999,0.1299999999999999,-8.120000000000005,-52.89999999999999,523.0099999999998,166864489.0,-0.1899999999999977,6.10841484510083,5804639.0,-13.863772311465056,B+,A,A,B,A,-,-,5
14,14,(주)서희건설,35890,2021,성숙기,중견기업,건설업,-3.0700000000000003,0.7999999999999998,-28.98,-9.569999999999991,116.28000000000004,43364350.0,0.990000000000002,-7.461585154899172,2202329.0,-0.4804572867425323,,,,,,,,
15,15,(주)세아제강,306200,2021,성장기,대기업,제조업,8.67,2.1099999999999994,129.67000000000002,-6.990000000000009,594.7199999999993,58335797.0,3.1700000000000017,14.498414845100829,2800100.0,-10.451686791358242,B+,B+,B+,B+,-,-,-,-
16,16,(주)세화피앤씨,252500,2021,성장기,중소기업,제조업,-0.5700000000000003,0.5,-914.45,51.28000000000003,-651.3900000000001,584462.0,0.0100000000000015,7.288414845100828,18616.0,-1.311049365512952,,,,,,,,
17,17,(주)싸이맥스,160980,2021,성숙기,중견기업,제조업,-2.280000000000001,-2.95,-1023.11,6.0800000000000125,384.6700000000001,3567011.0,-0.4600000000000008,-11.191585154899167,514684.0,-0.1941863869244304,,,,,,,,
18,18,(주)아이센스,99190,2021,성장기,중견기업,제조업,-2.41,1.6799999999999995,13.41,12.160000000000023,711.0500000000002,-352837.0,0.0399999999999991,26.09841484510084,679753.0,2.827962519128853,,,,,,,,
19,19,(주)아이에스시,95340,2021,성숙기,중소기업,제조업,11.62,-1.3199999999999998,-684.89,125.77,403.79,-1896223.0,-5.850000000000001,-5.56158515489917,1076860.0,5.027714686458736,,,,,,,,
