,회사명,거래소코드,회계년도,대주주지분변화분,외국인지분분변화,상장일,자산,당기순이익(손실),비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도,산업분류,1인년간평균급여(직원),토빈Q,target,WW지수,RDS,수명주기,산업평균_총자산증가율차분,대주주지분율,외국인지분율,업력,predict,상장협 산업분류 코드(대분류),기업규모명,배당금_현금,배당성향,종합등급,환경,사회,지배구조,한국ESG연구소,Moody's,MSCI,S&P,내용
8602,(주)브랜드엑스코퍼레이션,337930,2021,0.26,-1.22,2020-08-13,110650104.0,10757193,143.94,12.25,8.23,23.56,33.02,10.39,11.04,4.5,8.22,11.79,39.49,22.1,385.29,61.7,199.25,99.66,29.12,62.13,50.4,28.87,16.9,51.66,3.87,55.13,정보통신업,45000,2.856430109,1,0.872106951,0.0,성장기,41.17570417,50.43,0.46,4,0.0,100000,중소기업,2933275,27.26803358,,,,,,,,,
8603,(주)브리지텍,64480,2021,-42.89,0.93,2008-06-04,59134278.0,2819217,17.21,58.94,18.33,22.64,82.6,225.4,195.22,5.19,5.54,7.68,85.93,0.06,560.28,60.03,186.47,179.59,66.5,48.65,47.53,2.61,63.72,58.52,5.6,75.45,정보통신업,58141,1.453116042,1,0.861691123,0.0,성숙기,38.85570417,34.68,2.89,26,0.0,100000,중소기업,1380654,48.97295951,,,,,,,,,
8604,(주)브이원텍,251630,2020,-0.51,-0.17,2017-07-13,93630496.0,5499075,76.28,-19.33,3.66,16.08,35.42,-16.97,3.83,17.74,6.1,6.63,60.59,0.0,1090.66,50.55,630.47,521.01,127.08,10.56,9.52,0.52,339.11,87.66,10.91,238.86,제조업,48000,1.680155295,0,-0.344305385,0.044405652,성숙기,7.147289323,52.33,1.68,14,0.0,30000,중소기업,1437034,26.13228588,,,,,,,,,
8605,(주)브이원텍,251630,2021,0.05,-1.33,2017-07-13,132415969.0,12832274,68.75,18.4,13.69,64.34,-23.84,113.07,48.36,20.83,9.42,12.99,72.76,0.05,1244.76,72.59,469.67,359.91,100.59,33.06,12.88,16.69,65.05,73.18,12.88,204.33,제조업,50000,1.211538635,0,3.464003691,0.048883334,성장기,41.31570417,52.45,0.35,15,0.0,30000,중소기업,1437034,11.19859193,,,,,,,,,
8606,(주)비아트론,141000,2020,7.49,-6.19,2012-05-04,183866180.0,11293362,4.96,34.0,9.47,85.34,341.64,205.99,211.79,15.87,8.81,10.57,70.47,0.0,2330.65,41.68,329.32,314.88,36.12,26.57,25.78,0.09,4399.34,76.78,23.31,175.27,제조업,49000,0.899754341,0,2.054756329,0.041919192,쇠퇴기,22.68728932,19.04,3.89,19,0.0,30000,중소기업,1183329,10.47809324,,,,,,,,,
8607,(주)비아트론,141000,2021,7.5,-0.79,2012-05-04,189725481.0,15543322,70.95,-30.08,8.81,-13.73,-31.45,-5.29,-3.74,17.32,7.41,9.17,68.06,0.0,2542.04,65.22,287.66,274.39,62.93,19.56,18.89,0.1,3988.82,81.48,25.52,202.29,제조업,61000,0.822828474,0,0.707562863,0.04682786,성숙기,3.085704168,19.04,3.1,20,0.0,30000,중소기업,1183329,7.61310227,,,,,,,,,
8608,(주)비에이치,90460,2020,-26.96,-5.83,2007-01-26,561120408.0,-10616842,5.59,29.85,13.43,10.16,-45.59,-54.23,-68.76,3.59,4.99,8.69,91.29,0.01,2092.28,81.69,133.33,93.02,28.25,77.02,71.5,31.86,8.64,62.41,20.92,70.84,제조업,38140,1.71436454,0,-0.630149432,0.0,성장기,17.27728932,21.88,12.42,21,0.0,30000,중견기업,7721550,-72.72925414,,,,,,,,,
8609,(주)비에이치,90460,2021,11.97,-0.14,2007-01-26,793400422.0,74255345,11.37,67.13,28.71,43.75,108.79,215.53,361.55,7.88,12.07,22.55,90.31,0.0,2608.7,70.68,135.94,105.15,26.42,94.47,91.06,36.5,19.69,55.58,26.09,72.12,제조업,41560,1.444690192,0,2.662236545,0.0,성장기,41.29570417,21.66,12.28,22,1.0,30000,중견기업,7805896,10.51223451,,,,,,,,,
8610,(주)비엠티,86670,2020,-5.04,-0.07,2007-11-02,147938631.0,4002768,41.73,15.25,3.94,20.52,5.76,-25.57,-25.57,4.47,3.02,5.58,73.89,0.3,1694.72,91.68,152.39,80.23,12.67,102.22,72.54,84.31,6.68,46.7,16.96,154.53,제조업,40813,1.073670347,0,-0.204491408,0.049721317,성장기,25.79728932,60.44,2.75,20,0.0,30000,중소기업,1221979,30.52834938,,,,,,,,,
8611,(주)비엠티,86670,2021,4.28,-1.02,2007-11-02,186310419.0,4375338,28.15,24.1,10.78,20.45,-31.51,43.72,43.52,5.31,3.43,7.47,76.55,0.43,1888.19,106.08,165.52,92.5,33.76,129.96,74.84,106.4,2.9,41.3,18.89,156.83,제조업,32308,1.071186325,0,1.917674457,0.049851721,도입기,25.83570417,61.59,1.73,21,0.0,30000,중소기업,1221979,27.92879087,,,,,,,,,
