,target,거래소코드,상장일,수명주기,통계청 한국표준산업분류 10차(대분류),회계년도,회사명,대주주지분변화분,외국인지분분변화,자산,당기순이익(손실),비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도,1인년간평균급여(직원),토빈Q,WW지수,RDS,산업평균_총자산증가율차분,보통주식비율,외국인_주식분포비율,업력
5179,0,14280,1988/09/10,성장기,제조업,2018,금강공업(주),-20.86,0.5999999999999996,852848677.0,10841802.0,8.95,18.31,4.51,-7.39,-44.93,-39.55,-40.47,2.62,1.85,5.18,81.97,0.1,1063.16,138.31,85.93,63.04,18.21,140.76,119.22,104.65,2.26,39.14,13.42,134.48,50337.0,0.7083199778991977,-0.8580618750430287,1.0841359155845658e-05,12.722434708918474,34.8,2.82,39.0
5180,0,53260,2002/01/04,성숙기,제조업,2013,금강철강(주),-1.8600000000000003,0.1699999999999999,130946263.0,7122040.0,-8.21,4.91,5.86,-3.77,-25.88,-9.56,-18.24,3.12,5.94,8.3,94.88,0.01,893.53,27.01,334.41,285.34,83.39,36.44,32.72,1.67,62.59,67.16,8.92,50.38,28648.0,0.6336273071038309,-0.9090714648886296,0.0,1.979830716270698,53.23,0.24,36.0
5181,0,53260,2002/01/04,성숙기,제조업,2014,금강철강(주),-4.0,-0.12,127849883.0,6039721.0,-1.65,-2.54,4.12,-18.72,-34.35,-24.15,-21.33,2.92,4.53,6.0,94.77,0.01,933.69,25.51,412.46,364.9,123.64,27.96,24.84,1.61,73.07,71.86,9.32,60.74,69972.0,0.6434373115538948,-1.9272971252461848,0.0,-1.3646157035334592,53.23,0.12,37.0
5182,0,53260,2002/01/04,성숙기,제조업,2015,금강철강(주),1.08,1.08,131914340.0,6306700.0,15.72,0.06,4.87,-20.48,-4.24,16.5,15.73,4.25,5.21,6.69,93.31,0.0,983.55,28.17,422.81,377.39,114.44,25.99,23.13,1.59,84.77,73.31,9.81,75.82,33557.0,0.7499293329292327,-1.7502191469232744,0.0,2.969252752634891,53.23,1.2,38.0
5183,1,53260,2002/01/04,성숙기,제조업,2016,금강철강(주),38.72,-0.1399999999999999,134873993.0,5856462.0,0.07,2.87,4.08,2.01,-3.8,-16.62,-17.47,3.47,4.23,5.34,93.54,0.01,1025.39,27.1,441.03,419.33,105.11,23.83,21.93,1.5,92.33,74.71,10.22,75.61,33572.0,0.9409686862314516,-1.129247640292284,0.0,2.133259767156068,53.23,1.06,39.0
5184,0,53260,2002/01/04,쇠퇴기,제조업,2017,금강철강(주),-39.8,0.8599999999999999,129983802.0,3012420.0,7.09,-6.63,-1.28,21.2,-11.43,-47.03,-65.05,1.51,2.25,2.79,94.64,0.01,1026.8,29.42,472.11,416.21,85.23,20.95,19.39,1.48,55.3,77.59,10.23,58.6,41317.0,0.7259631934754455,0.824782858506956,0.0,-3.7910906376187694,53.31,1.92,40.0
5185,0,53260,2002/01/04,성숙기,제조업,2018,금강철강(주),26.48,-0.01,133399433.0,4513450.0,29.19,-5.91,1.48,-1.1,-58.68,74.27,174.43,2.69,3.99,4.86,95.03,0.01,1062.21,37.45,413.84,381.74,59.85,22.33,20.51,1.39,11.43,78.21,10.58,56.94,46579.0,0.7194576306782353,-0.5653081358361025,0.0,2.6024347089184743,53.31,1.91,41.0
5186,0,53260,2002/01/04,쇠퇴기,제조업,2019,금강철강(주),-22.48,0.2700000000000002,136604950.0,4472814.0,-9.24,7.54,0.95,-12.16,44.09,-16.58,-37.82,2.56,3.25,4.0,94.36,0.0,1078.13,33.67,404.71,364.22,76.51,24.1,22.34,1.36,32.88,77.51,10.74,68.59,49192.0,0.6775568454876635,-1.535652390269885,0.0,2.2917052828097835,53.31,2.18,42.0
5187,0,2990,1976/06/26,쇠퇴기,건설업,2016,금호건설(주),-35.5,1.14,1274602780.0,119375539.0,-15.54,9.4,7.27,-11.58,101.19,860.9023444180505,45.22930641330159,2.66,2.79,11.98,92.32,0.12,76.12,172.46,105.79,100.85,10.23,309.5,224.07,86.39,2.77,10.57,0.76,58.02,63098.0,1.0181146367058764,-0.892822025600606,0.0,-2.910747247365109,49.6,3.83,56.0
5188,0,2990,1976/06/26,성숙기,건설업,2017,금호건설(주),23.09,0.71,1284875517.0,8178280.0,17.46,-11.31,26.16,-4.12,-25.71,164.39,458.1,7.34,7.45,27.07,91.6,0.12,121.56,160.55,97.23,92.72,8.04,227.2,171.38,55.3,2.45,17.1,1.22,53.09,50316.0,0.9681949188996803,-0.3467867107143936,0.0,0.6489093623812298,49.04,4.54,57.0
