,target,거래소코드,상장일,수명주기,직급명,통계청 한국표준산업분류 10차(대분류),회계년도,회사명,대주주지분변화분,외국인지분분변화,자산,당기순이익(손실),미처분이익잉여금(결손금),총자본증가율,비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도,1인평균지급액(임원),1인년간평균급여(직원),토빈Q,WW지수,RDS
37,1,9160,1989/07/29,성장기,등기이사,제조업,2015,(주)SIMPAC,6.930000000000001,2.28,40799790.0,841854.0,8260060.0,8.16,-4.88,17.75,15.47,-1.53,-9.13,13.44,15.58,2.24,2.23,3.98,73.69,0.0,570.46,68.64,204.38,105.99,9.09,84.29,56.59,50.44,2.33,46.55,6.01,102.26,153328.0,24671.0,883.9206090031346,-0.6168731176942205,0.0347941533424966
38,1,9160,1989/07/29,성숙기,"등기이사(사외이사,감사위원회 위원 제외)",제조업,2016,(주)SIMPAC,-14.14,1.5699999999999998,102872752.0,-1943335.0,39668062.0,2.3,-0.61,4.41,0.23,3.56,0.0,0.0,0.0,0.21,0.18,0.29,86.18,0.08,691.24,66.58,182.37,133.37,11.48,63.32,53.05,44.09,0.54,57.36,6.91,104.93,0.0,31379.0,438.59898651296896,-0.970623667076052,0.0168798748102209
39,1,9160,1989/07/29,쇠퇴기,"등기이사(사외이사,감사위원회 위원 제외)",제조업,2017,(주)SIMPAC,12.12,-0.1500000000000001,98176729.0,2529305.0,50763149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,1.15,1.66,83.99,0.58,1634.04,67.17,199.97,148.4,17.71,43.82,38.33,25.35,33.43,66.68,16.34,85.08,146978.0,35808.0,573.1107889834057,-0.9539474290566516,0.0062321361572248
40,1,9160,1989/07/29,쇠퇴기,사외이사 (감사위원회 위원 제외),제조업,2018,(주)SIMPAC,5.69,-0.69,190892787.0,3058699.0,20352128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.94,4.91,85.08,0.02,318.88,137.05,86.29,40.17,3.47,136.85,115.66,98.25,1.85,32.58,3.38,105.5,76000.0,40000.0,142.46267488881077,-0.9048624744495676,0.0007992048979475
41,0,9160,1989/07/29,성장기,사외이사 (감사위원회 위원 제외),제조업,2019,(주)SIMPAC,-6.69,0.0,156072223.0,255667.0,18984206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.69,1.2,82.63,0.01,308.12,121.28,110.99,60.77,5.87,97.99,69.12,60.81,2.77,38.72,3.28,98.95,45000.0,46797.0,168.96565754689098,-0.5423050402123898,0.0013998787749196
42,0,9160,1989/07/29,쇠퇴기,"등기이사(사외이사,감사위원회 위원 제외)",제조업,2020,(주)SIMPAC,-6.910000000000004,0.0,141554377.0,1360795.0,16696745.0,-3.79,0.47,-9.72,0.2,-6.12,-37.79,0.0,0.0,1.62,1.24,2.44,83.94,0.02,299.56,111.2,188.96,94.22,7.94,82.98,37.99,45.83,1.58,41.65,3.2,110.55,107642.0,43844.0,205.3104610322293,-1.483979159240873,0.0045934025152624
43,0,9160,1989/07/29,쇠퇴기,사외이사 (감사위원회 위원 제외),제조업,2021,(주)SIMPAC,-5.1,0.61,136324231.0,5993614.0,7199048.0,3.86,-1.26,6.19,20.17,15.48,0.75,-44.35,-42.91,2.4,4.48,7.4,87.91,0.0,1012.16,45.78,214.57,182.38,38.74,54.11,50.49,6.47,11.95,60.32,10.12,52.61,171850.0,56000.0,773.0042639448302,-0.7288958536793244,0.0
44,0,100840,2008/02/22,쇠퇴기,등기이사,제조업,2011,(주)SNT에너지,1.16,-3.74,280043161.0,12406947.0,67512092.0,-0.85,-3.35,1.51,5.55,-3.49,-34.7,-31.03,-29.59,2.59,3.08,8.38,86.83,0.01,785.61,111.88,123.9,73.71,2.68,136.4,100.51,89.55,5.1,38.37,7.77,81.08,24000.0,42819.0,565.6037636284216,-1.3497541688557568,0.0
45,0,100840,2008/02/22,성숙기,등기이사,제조업,2012,(주)SNT에너지,0.15,0.44,110211415.0,4327200.0,33248154.0,12.6,12.37,12.87,11.03,-3.45,-7.24,2.99,-8.41,3.44,4.16,7.68,83.37,0.0,1387.37,101.73,178.71,151.15,9.12,85.92,47.11,35.42,10.76,50.18,13.87,79.58,324000.0,45000.0,810.3087186658478,-0.6391522117844546,0.0007970010475853
46,0,100840,2008/02/22,쇠퇴기,등기이사,제조업,2013,(주)SNT에너지,1.56,0.11,135279424.0,3343641.0,34942094.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,3.7,5.83,85.84,0.0,1338.95,92.59,128.97,99.25,25.24,78.56,66.66,32.78,3.58,52.26,13.94,88.81,246000.0,44000.0,719.4610245975027,-0.7710476361807446,6.335872698047513e-05
47,0,100840,2008/02/22,쇠퇴기,등기이사,제조업,2014,(주)SNT에너지,-1.23,0.0199999999999999,141605832.0,97545.0,34254695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,2.22,2.7,83.94,0.0,1363.43,96.97,182.38,134.3,23.21,82.91,47.12,37.73,5.66,51.1,14.26,79.3,221000.0,45000.0,535.2659110395962,-1.2647920922055218,0.0
48,0,100840,2008/02/22,성숙기,등기이사,제조업,2015,(주)SNT에너지,-0.3099999999999999,-0.4100000000000006,259436782.0,4570284.0,5493642.0,11.5,27.96,5.21,1.93,-2.94,34.41,7.14,-2.54,1.52,1.83,3.33,96.21,0.0,2359.57,59.51,155.27,151.25,48.13,87.47,82.41,29.79,3.36,52.3,23.6,84.27,131000.0,53000.0,350.6038967905484,-0.5928797789399708,0.0018810875123344
