,target,거래소코드,상장일,수명주기,직급명,통계청 한국표준산업분류 10차(대분류),회계년도,회사명,대주주지분변화분,외국인지분분변화,자산,당기순이익(손실),미처분이익잉여금(결손금),총자본증가율,비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도,1인평균지급액(임원),1인년간평균급여(직원),토빈Q,WW지수,RDS
1568,0,67730,2015/07/29,성장기,"등기이사(사외이사,감사위원회 위원 제외)",정보통신업,2021,(주)로지시스,-0.04,0.1799999999999999,80290458.0,-339184.0,-13164143.0,30.73,23.94,39.39,6.14,36.03,0.0,0.0,0.0,-2.79,-2.2,-3.53,82.81,0.04,191.96,124.76,84.16,58.19,2.08,134.84,130.8,99.66,2.42,29.48,1.91,100.64,36000.0,34289.0,650.221914838249,1.252317837950644,0.0493659881624685
1569,0,38060,2006/08/08,성숙기,등기이사,제조업,2011,(주)루멘스,1.62,0.1,282306292.0,6276893.0,40670244.0,11.43,4.32,15.63,7.72,3.23,19.24,88.71,95.94,3.62,5.16,8.88,84.72,0.12,1008.65,59.13,165.65,120.49,63.74,70.34,67.13,42.75,9.26,55.13,10.07,59.24,408175.0,47912.0,289.156765298026,-0.8121076516137797,0.0008406000526748
1570,0,38060,2006/08/08,성숙기,등기이사,제조업,2013,(주)루멘스,-1.63,1.2399999999999998,293785485.0,7056329.0,40040910.0,4.07,-1.72,7.14,2.36,2.72,-66.01,-49.9,-58.56,1.78,2.42,4.24,86.31,0.13,1034.02,56.73,181.98,131.36,61.48,73.04,63.92,42.25,2.3,54.35,10.34,60.58,525982.0,49440.0,265.47263090278267,-0.4590076115829586,0.0014021658358552
1571,0,38060,2006/08/08,성장기,등기이사,제조업,2014,(주)루멘스,38.4,-0.4299999999999997,271093005.0,2378089.0,39309156.0,-7.72,2.67,-12.79,1.27,-8.55,-26.99,-55.78,-33.57,0.83,1.06,1.84,85.98,0.13,1047.99,57.53,190.27,138.93,67.36,57.72,52.66,29.41,1.94,59.68,10.47,59.39,262309.0,48000.0,318.60655150065566,-1.1032813298439843,0.0007153244192097
1572,0,38060,2006/08/08,성장기,등기이사,제조업,2015,(주)루멘스,-38.13,3.06,275013700.0,3727863.0,39854963.0,1.45,-2.69,3.82,1.41,-5.8,109.64,30.15,2.44,1.19,1.47,2.36,84.02,0.0,1063.71,55.17,205.36,151.34,76.11,57.68,49.92,29.2,5.62,59.75,10.64,64.83,184581.0,44988.0,324.2940176471208,-1.5009953590280998,0.0
1573,0,38060,2006/08/08,성장기,"등기이사(사외이사,감사위원회 위원 제외)",제조업,2016,(주)루멘스,-0.22,-3.06,256515295.0,-5057884.0,30635569.0,-6.73,7.66,-14.47,-4.62,-7.04,-43.41,0.0,-274.0,-1.76,-2.08,-3.18,83.67,0.0,1011.51,62.31,188.5,132.54,38.54,54.3,48.8,21.45,3.67,60.87,10.11,63.9,272324.0,52746.0,451.3565990909041,-1.307285551286281,0.0
1574,0,38060,2006/08/08,성장기,사외이사 (감사위원회 위원 제외),제조업,2017,(주)루멘스,-0.0699999999999999,0.29,245949757.0,-246140.0,35466275.0,-4.12,3.39,-9.2,-0.45,-12.18,-68.66,0.0,0.0,0.29,0.32,0.54,82.83,0.0,1006.64,64.68,201.36,152.67,70.21,48.53,41.64,20.02,1.3,63.22,10.06,67.11,21000.0,51248.0,404.2446121262075,-1.6508313254040847,0.0
1575,0,38060,2006/08/08,도입기,"등기이사(사외이사,감사위원회 위원 제외)",제조업,2018,(주)루멘스,0.2499999999999999,1.79,335926098.0,11243127.0,48827755.0,19.04,-5.83,44.59,8.81,17.8,0.0,0.0,0.0,3.48,3.84,7.16,84.12,0.0,1056.96,77.74,137.31,94.85,43.77,93.88,84.58,50.16,-1.3,48.57,10.56,80.81,206523.0,58577.0,266.319476538557,-0.521224564191079,0.0
1576,0,38060,2006/08/08,성숙기,사외이사 (감사위원회 위원 제외),제조업,2019,(주)루멘스,-0.2299999999999999,-3.92,313457406.0,3343701.0,50198152.0,-6.69,0.29,-11.36,2.3,14.01,0.0,-51.66,-68.01,1.47,1.76,3.29,83.31,0.0,1082.81,76.17,144.75,98.11,31.96,76.74,69.48,30.54,2.72,53.36,10.83,64.6,39452.0,57735.0,302.5757335463945,-0.4704245069821052,0.0
1577,0,38060,2006/08/08,쇠퇴기,"등기이사(사외이사,감사위원회 위원 제외)",제조업,2020,(주)루멘스,5.48,0.7000000000000002,344617741.0,-6590423.0,43796950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.22,-1.7,-3.37,85.71,0.0,1050.61,85.34,129.97,71.92,20.99,100.07,88.28,51.57,0.97,47.1,10.51,55.78,42000.0,57213.0,244.59403119933967,1.1809137137567247,0.0
