,target,거래소코드,상장일,수명주기,통계청 한국표준산업분류 10차(대분류),회계년도,회사명,대주주지분변화분,외국인지분분변화,자산,당기순이익(손실),비유동자산증가율,유동자산증가율,자기자본증가율,매출액증가율,정상영업이익증가율,순이익증가율,총포괄이익증가율,매출액순이익률,총자본순이익률,자기자본순이익률,매출원가대매출액비율,광고선전비대매출액비율,유보율,비유동비율,유동비율,당좌비율,현금비율,부채비율,유동부채비율,차입금비율,이자보상배율(이자비용),유보액대비율,유보액대납입자본배율,투자집중도,1인년간평균급여(직원),토빈Q,WW지수,RDS,산업평균_총자산증가율차분,보통주식비율,외국인_주식분포비율,업력
1223,0,90460,2007/01/26,성숙기,제조업,2018,(주)비에이치,0.29,-0.02,167667443.0,12048959.0,12.93,4.34,7.16,20.9,13.2,15.21,12.48,12.7,7.74,9.85,60.75,0.12,1640.43,77.04,528.65,328.2,116.87,28.45,9.72,16.44,39.12,73.38,16.4,162.35,50596.0,1.770709558682779,-0.4765036998998231,0.0599314950779456,9.223259767156067,32.34,3.73,21.0
1224,0,90460,2007/01/26,성숙기,제조업,2019,(주)비에이치,-0.26,1.3199999999999998,176369786.0,11807314.0,10.21,-2.34,5.58,4.86,-0.34,-3.6,-11.49,11.68,6.96,8.93,63.77,0.12,1737.55,80.43,290.56,170.53,84.2,27.97,16.36,17.23,30.64,73.89,17.38,160.23,43482.0,1.885547647032922,0.2286124686298464,0.0623790405320502,5.02890936238123,32.33,5.05,22.0
1225,1,86670,2007/11/02,도입기,제조업,2013,(주)비엠티,0.03,-2.57,193163241.0,13553593.0,8.86,10.65,8.05,-1.92,6.47,25.62,34.49,14.96,8.14,10.5,59.65,0.07,1885.41,81.03,319.99,171.06,90.68,29.72,15.22,20.45,29.82,73.21,18.85,171.49,54217.0,1.4534197891202292,-0.6054235105234863,0.0676498881452662,9.492434708918474,32.4,2.48,23.0
1226,0,86670,2007/11/02,성숙기,제조업,2014,(주)비엠티,3.3600000000000003,-0.4100000000000001,209051968.0,9568340.0,12.97,0.34,4.58,5.69,-15.22,-27.9,-23.73,10.2,5.39,7.12,63.05,2.3,1976.31,87.53,329.29,147.73,64.79,34.25,14.19,25.84,19.1,70.9,19.76,165.18,59381.0,1.7169100221051254,-0.9284787593003266,0.0627151681531406,8.121705282809785,32.4,2.07,24.0
1227,0,86670,2007/11/02,성장기,제조업,2015,(주)비엠티,-0.19,-1.3,269566288.0,16488744.0,12.58,21.06,14.33,29.83,8.17,31.79,16.43,5.73,6.86,13.52,80.5,0.52,1426.28,62.15,155.37,77.24,7.97,100.25,88.88,60.7,8.24,47.4,14.26,87.09,40927.0,1.008650740243899,0.2456470379610105,0.0022461799483858,18.249830716270697,54.2,1.66,19.0
1228,0,86670,2007/11/02,성숙기,제조업,2016,(주)비엠티,2.28,0.3800000000000001,311323451.0,12907134.0,3.66,20.81,3.91,6.2,1.75,-22.13,-45.96,4.2,4.57,9.68,81.31,0.3,1476.52,62.0,145.32,77.42,8.02,122.57,110.49,76.53,7.83,42.49,14.77,94.76,42637.0,0.97130996628969,-1.0794067388880069,0.0019617055012904,16.485384296466542,58.08,2.04,20.0
1229,0,86670,2007/11/02,성숙기,제조업,2017,(주)비엠티,0.8700000000000001,-0.8900000000000001,285417033.0,14650537.0,2.66,-12.56,7.9,3.7,-13.92,-8.54,60.98,3.7,4.07,8.35,82.02,0.17,1592.22,58.99,166.82,78.14,9.72,89.11,78.0,52.88,6.38,49.97,15.92,83.61,45341.0,1.083845340933104,-0.9464868699449532,0.0006027370695229,-8.53074724736511,58.14,1.15,21.0
1230,1,86670,2007/11/02,쇠퇴기,제조업,2018,(주)비엠티,-3.24,0.4400000000000001,262385473.0,9870333.0,-2.34,-10.67,10.85,2.91,44.53,43.96,30.07,5.18,6.38,10.99,81.09,0.34,1773.09,51.97,202.81,77.52,8.35,56.84,51.71,19.02,16.58,60.53,17.73,73.82,49822.0,1.0493064745242204,-1.1375217474340105,0.0020364101955777,-8.176740232843933,57.47,1.59,22.0
1231,0,86670,2007/11/02,성장기,제조업,2019,(주)비엠티,0.0,0.9000000000000001,273598043.0,12724620.0,-2.82,7.79,9.69,0.86,-5.28,0.64,5.52,5.17,6.57,10.03,80.96,0.26,1954.13,46.04,229.5,73.7,5.09,49.09,44.9,19.12,25.08,63.98,19.54,75.9,48984.0,0.958934251236585,0.0759375759359989,0.0017363085671664,4.10890936238123,56.67,2.49,23.0
1232,0,1460,1975/06/02,성숙기,제조업,2013,(주)비와이씨,-0.12,-0.06,269379041.0,9172784.0,1.38,-2.85,4.59,-8.55,-41.66,-42.39,-43.17,3.26,3.73,5.4,83.33,0.27,2048.26,44.63,265.61,103.54,7.48,40.34,36.03,14.5,13.44,68.11,20.48,81.71,46149.0,0.6902858927617906,-0.8512021306616928,0.0035656148638207,-1.567565291081526,54.49,2.43,24.0
1233,1,1460,1975/06/02,성장기,제조업,2014,(주)비와이씨,4.83,-0.6100000000000001,280365328.0,765118.0,4.32,3.97,-1.07,-20.1,-78.37,-88.56,-100.61,0.47,0.42,0.61,85.82,0.23,2025.39,47.06,240.38,92.72,6.67,47.64,41.84,21.94,3.08,64.71,20.25,106.54,47721.0,0.6035246764892412,-1.840973147704516,0.0030092408508149,3.971705282809784,54.08,1.82,25.0
